oshpd_id9,OSHPD_ID,COUNTY,FACILITY_NAME,ADDRESS,CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,teach_rural,licensed_bed_size,senate_district_desc,assembly_district_desc,mssa_name,mssa_designation,TOC_Acute,TOC_SN_IC,TOC_Psych,TOC_Chem_Dep,TOC_Rehab,TOC_Unknown,Sex_Male,Sex_Female,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_nhpi,racegrp_black,racegrp_white,racegrp_unknown,racegrp_other,racegrp_multirace,Admt_Non_HCF,Admt_Clinic_Dr,Admt_Hosp_Dif,Admt_SNF_ICF_ALF,Admt_Another_HCF,Admt_DistinctPartXfer,Admt_Amb_Surgery,Admt_HospiceFacility,Admt_Court_LE,Admt_NA,Admt_Newborn,admt_disaster_care_site,Route_Your_ER,Route_Another_ER,Route_No_ER,Route_NA,dsch_days,Adm_Emergency,Adm_Urgent,Adm_Elective,Adm_Newborn,Adm_Trauma,Adm_NA,disp_Routine,disp_Acute_Care,disp_Rehab,disp_SN_IC_Care,disp_Residential_Care,disp_Prison_Jail,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Disaster_Care_Site,disp_Childrens_or_Cancer,disp_Hospice_Care,disp_Psychiatric_Care,disp_CAH,disp_Not_Defined_Elsewhere,disp_Other,disp_Invalid_Blank,DNR_Yes,DNR_No,DNR_Unknown,Payer_Medicare,Payer_Medi_Cal,Payer_Priv_Coverage,Payer_Workers_Comp,Payer_County_Indigent_Prog,Payer_Other_Government,Payer_Other_Indigent,Payer_Self_Pay,Payer_Other_Payer,Payer_Unknown,dx_Infectious,dx_Neoplasms,dx_Diseases_of_the_Blood,dx_Endocrine,dx_MentalHealth,dx_Nervous_System,dx_Eye,dx_Ear,dx_Circulatory,dx_Respiratory,dx_Digestive,dx_Skin,dx_Musculoskeletal,dx_Genitourinary,dx_Pregnancy_Childbirth,dx_Certain_Perinatal_Conditions,dx_Congenital,dx_Symptoms_Signs_NEC,dx_Injury_Poisoning,dx_Factors_Influencing_Health,dx_Other_Unknown,PR_Diagnostic_Therapeutic,PR_Obstetrical,PR_Cardiovascular_System,PR_Digestive_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Reproductive_System,PR_Hemic_Lymph_System,PR_Integumentary_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_Nose_Mouth_Pharynx,PR_Respiratory_System,PR_Urinary_System,PR_None,PR_No_Group_Assigned,Zip_Unk_Inv_Bl,Zip_Homeless,Zip_Foreign,Zip_Out_of_State,Zip_CA_Resident,,,,,,,
106014034,014034,ALAMEDA,FREMONT HOSPITAL,39001 SUNDALE DR,FREMONT,94538,Investor - Corporation,Teaching,100-149,District 10,District 25,Centerville/Fremont West/Irvington/Newark East Central,Urban,,,5161,,,,2108,3049,4,,2366,1141,689,441,365,126,27,,6,916,4245,,,575,,285,1911,22,2332,36,58,5,4576,,522,,,,,,,,,4571,590,,40559,,5161,,,,,4828,12,,1,102,2,204,,1,,,,6,,,5,,,5161,,582,872,2805,,,902,,,,,,,,1,5143,,,,1,,,,,,15,,,1,,,,963,,,,,,,,,,,,,,,4198,,39,470,,19,4633,,,,,,,
106014050,014050,ALAMEDA,STANFORD HEALTH CARE - VALLEYCARE,5555 W LAS POSITAS BLVD,PLEASANTON,94588,Non-profit Corporation (incl. Church-related),Teaching,150-199,District 7,District 16,Dublin/Pleasanton/Santa Rita/Sunol,Urban,7517,,,,,,3102,4415,,1396,40,445,1208,483,642,928,1162,1213,,919,6535,63,18,1517,29,291,3588,47,1923,104,5727,108,186,138,7,1,4,,22,1,1323,,3775,26,3716,,30435,3894,218,2082,1323,,,4837,241,38,823,1,25,,240,1151,,5,141,9,,,6,,457,7060,,2672,784,3229,33,,51,,199,549,,834,233,43,354,65,131,1,3,1046,304,694,50,281,264,1360,1374,6,52,399,23,,772,1271,753,750,1,2,,79,16,92,403,80,10,218,84,2863,123,,65,4,59,7389,,,,,,,
106014132,014132,ALAMEDA,KAISER FOUNDATION HOSPITAL - FREMONT,39400 PASEO PADRE PKWY,FREMONT,94538,Non-profit Corporation (incl. Church-related),Teaching,100-149,District 10,District 25,Fremont East/Niles/Union City Central,Urban,4365,,278,,,,2374,2269,,,29,168,248,376,607,876,1021,1316,2,714,3912,17,,1200,48,394,2226,31,719,25,3820,85,479,123,127,9,,,,,,,3827,196,620,,22121,523,3835,285,,,,2058,232,24,518,,,46,191,1365,,,166,29,,6,8,,863,3780,,2900,229,1463,6,,1,,44,,,1286,99,43,362,322,107,4,3,836,243,510,71,71,225,20,,1,103,323,14,,1207,2,319,655,2,3,,17,8,88,230,36,22,95,159,1611,189,1,58,,11,4573,,,,,,,
106014207,014207,ALAMEDA,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,2633 E 27TH ST,OAKLAND,94601,Investor - Corporation,Teaching,1-49,District 9,District 18,Oakland West Central,Urban,,,1072,,,,488,583,1,,90,389,196,142,133,87,31,,4,198,743,131,,53,,153,477,25,364,,776,,272,,24,,,,,,,,,,1072,,6275,,1072,,,,,1001,16,,,24,,31,,,,,,,,,,,,1072,,182,45,837,,1,,,,7,,,,,,1069,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,1072,,,1,,1,1070,,,,,,,
106014226,014226,ALAMEDA,TELECARE WILLOW ROCK CENTER,2050 FAIRMONT DR,SAN LEANDRO,94578,Investor - Corporation,Teaching,1-49,District 10,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,,,411,,,,137,274,,,411,,,,,,,,,112,257,42,,,,88,119,18,186,,359,,43,,2,,,,7,,,,,,411,,2654,1,410,,,,,370,1,,,18,3,19,,,,,,,,,,,,411,,,1,206,,203,,,,1,,,,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,,,,,,411,,,,,,,
106014233,014233,ALAMEDA,EDEN MEDICAL CENTER,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,Non-profit Corporation (incl. Church-related),Teaching,100-149,District 10,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,9648,,,,,,4400,5248,,1101,93,702,1193,797,1052,1535,1500,1675,,2248,7283,117,13,1461,586,1412,4256,94,1716,110,7733,65,249,473,12,2,4,1,7,1,1101,,6758,107,2783,,40733,4200,2113,1013,1101,1221,,5024,449,215,1547,45,13,193,341,1497,,3,270,45,1,5,,,809,8839,,3641,2427,3104,64,,209,,184,19,,1473,268,104,304,126,243,2,5,1309,324,878,92,354,335,1135,1101,3,113,1455,24,,1261,1083,524,804,4,3,11,116,42,322,753,215,24,259,131,3894,202,37,224,1,46,9340,,,,,,,
106014326,014326,ALAMEDA,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 W MACARTHUR BLVD,OAKLAND,94611,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 9,District 15,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,23932,,,,,,10596,13334,2,3848,911,1190,3178,1724,2373,3485,3846,3374,3,3996,19254,682,82,3450,178,5906,8552,624,4772,368,19256,184,1274,328,42,1,,,,91,2749,7,12236,800,10894,2,102812,4950,11862,4360,2749,,11,17396,499,134,1596,7,6,235,684,2912,,5,382,39,,29,8,,2277,21655,,9077,2670,11665,16,,174,,329,1,,3106,1590,294,874,292,660,21,24,3021,1144,2007,242,1392,643,3041,2866,218,526,1312,659,,6512,2744,1456,2153,16,36,9,622,191,382,1690,738,193,945,514,5222,509,7,387,,68,23470,,,,,,,
106014337,014337,ALAMEDA,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED ST,SAN LEANDRO,94577,Non-profit Corporation (incl. Church-related),Teaching,200-299,District 9,District 18,San Leandro West/San Lorenzo West/Hayward West,Urban,15160,,,,,,5580,9579,1,3981,75,1392,3152,816,1056,1512,1550,1625,1,3900,11015,245,61,4657,319,2063,3877,254,3489,440,10107,195,399,313,224,,,,,1,3921,,5283,154,9723,,51513,793,9081,1365,3921,,,10642,248,23,891,1,,96,355,2701,,1,174,19,,7,2,,1086,14074,,4073,1223,9686,14,,5,,159,,,2209,233,73,308,134,157,9,1,1176,389,763,105,314,319,4196,3979,8,131,611,45,,4870,3899,561,968,5,4,2,923,25,170,736,41,71,187,259,2060,379,,64,,24,15072,,,,,,,
106034002,034002,AMADOR,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,95642,Non-profit Corporation (incl. Church-related),Small/Rural,50-99,District 8,District 5,Ione/Jackson/Pine Grove/Sutter Creek,Rural,2438,,,,,,1057,1381,,293,13,178,206,116,221,407,534,470,,213,2165,60,20,12,12,20,2200,32,100,42,1999,15,23,45,1,,,,72,,283,,1731,8,699,,10271,1300,523,332,283,,,1277,145,17,265,10,66,52,63,477,,,55,3,4,4,,,287,2151,,1198,587,445,7,,172,,29,,,568,31,15,73,28,48,,1,293,142,258,34,77,38,305,293,,40,185,9,,314,280,81,193,,,,5,,34,192,7,1,36,2,1154,139,1,15,,16,2406,,,,,,,
106040802,040802,BUTTE,ORCHARD HOSPITAL,240 SPRUCE ST,GRIDLEY,95948,Non-profit Corporation (incl. Church-related),Small/Rural,100-149,District 4,District 3,Biggs/East Biggs/Gridley,Rural,199,127,,,,,144,182,,,,,,24,50,52,81,107,12,57,269,,,,,,271,17,38,,170,5,44,6,2,98,1,,,,,,175,1,150,,2305,1,191,134,,,,141,27,1,96,1,,7,17,25,,,1,1,7,2,,,288,38,,202,96,25,,,1,,2,,,56,4,1,23,4,18,,,60,53,20,22,17,25,,,,10,11,2,,6,,10,1,,,,,,2,5,,,3,,296,3,1,11,,2,312,,,,,,,
