oshpd_id9,OSHPD_ID,COUNTY,FACILITY_NAME,ADDRESS,CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,teach_rural,licensed_bed_size,senate_district_desc,assembly_district_desc,mssa_name,mssa_designation,TOC_Acute,TOC_SN_IC,TOC_Psych,TOC_Chem_Dep,TOC_Rehab,TOC_Unknown,Sex_Male,Sex_Female,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_nhpi,racegrp_black,racegrp_white,racegrp_unknown,racegrp_other,racegrp_multirace,Admt_Non_HCF,Admt_Clinic_Dr,Admt_Hosp_Dif,Admt_SNF_ICF_ALF,Admt_Another_HCF,Admt_DistinctPartXfer,Admt_Amb_Surgery,Admt_HospiceFacility,Admt_Court_LE,Admt_NA,Admt_Newborn,admt_disaster_care_site,Route_Your_ER,Route_Another_ER,Route_No_ER,Route_NA,dsch_days,Adm_Emergency,Adm_Urgent,Adm_Elective,Adm_Newborn,Adm_Trauma,Adm_NA,disp_Routine,disp_Acute_Care,disp_Rehab,disp_SN_IC_Care,disp_Residential_Care,disp_Prison_Jail,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Disaster_Care_Site,disp_Childrens_or_Cancer,disp_Hospice_Care,disp_Psychiatric_Care,disp_CAH,disp_Not_Defined_Elsewhere,disp_Other,disp_Invalid_Blank,DNR_Yes,DNR_No,DNR_Unknown,Payer_Medicare,Payer_Medi_Cal,Payer_Priv_Coverage,Payer_Workers_Comp,Payer_County_Indigent_Prog,Payer_Other_Government,Payer_Other_Indigent,Payer_Self_Pay,Payer_Other_Payer,Payer_Unknown,dx_Infectious,dx_Neoplasms,dx_Diseases_of_the_Blood,dx_Endocrine,dx_MentalHealth,dx_Nervous_System,dx_Eye,dx_Ear,dx_Circulatory,dx_Respiratory,dx_Digestive,dx_Skin,dx_Musculoskeletal,dx_Genitourinary,dx_Pregnancy_Childbirth,dx_Certain_Perinatal_Conditions,dx_Congenital,dx_Symptoms_Signs_NEC,dx_Injury_Poisoning,dx_Factors_Influencing_Health,dx_Other_Unknown,PR_Diagnostic_Therapeutic,PR_Obstetrical,PR_Cardiovascular_System,PR_Digestive_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Reproductive_System,PR_Hemic_Lymph_System,PR_Integumentary_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_Nose_Mouth_Pharynx,PR_Respiratory_System,PR_Urinary_System,PR_None,PR_No_Group_Assigned,Zip_Unk_Inv_Bl,Zip_Homeless,Zip_Foreign,Zip_Out_of_State,Zip_CA_Resident,,,,,,,
106010735,010735,ALAMEDA,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,City or County,NA,100-149,District 9,District 18,Alameda/Jack London Square/Oakland Inner Harbor,Urban,2646,130,,,1,1,1409,1368,1,,,104,187,296,408,590,570,619,4,487,2230,61,,480,19,727,943,30,513,66,1823,5,461,380,12,94,,,,3,,,2116,327,335,,85839,2119,379,279,,,1,1166,204,60,574,,,119,102,500,,,46,6,,1,,,109,2669,,1478,973,204,1,48,19,,55,,,460,49,52,138,79,181,4,6,470,272,343,73,135,151,,,,128,217,17,3,321,,221,168,,,1,19,,39,123,28,3,78,11,1743,23,1,141,,27,2609,,,,,,,
106010739,010739,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY AVE,BERKELEY,94705,Non-profit Corporation (incl. Church-related),NA,300-499,District 9,District 15,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,15007,,,,,,5171,9836,,4314,188,1720,3212,931,788,1104,1436,1314,,4211,10314,482,44,1873,389,3099,5072,320,3941,269,9681,107,829,150,20,3,3,1,,1,4212,,4758,547,9702,,60441,3534,4666,2595,4212,,,11358,274,118,922,40,2,260,189,1590,,22,122,101,,9,,,645,14362,,3074,6095,5174,12,,396,,247,9,,1322,241,139,269,128,222,11,15,773,277,801,161,562,317,4719,4309,6,136,584,15,,1265,4209,401,698,3,5,4,227,17,189,663,247,33,167,122,6484,273,32,381,6,69,14519,,,,,,,
106010776,010776,ALAMEDA,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,747 52ND ST,OAKLAND,94609,Non-profit Corporation (incl. Church-related),Teaching,150-199,District 9,District 15,Oakland West Central,Urban,7240,,,,92,,3962,3369,1,4770,2379,179,,,,,,,4,3194,4075,63,29,604,96,1053,1437,66,3617,430,4553,869,1766,,84,58,1,,,1,,,5028,123,2181,,41285,3862,1711,1536,,218,5,7059,79,72,1,2,1,15,47,6,,5,5,40,,,,,24,7308,,18,3274,1919,,,2030,,82,9,,630,202,253,326,79,568,24,23,65,1353,757,149,294,209,,410,405,243,924,416,2,1311,,209,693,30,14,16,62,60,154,518,338,199,94,31,3415,188,,22,1,72,7237,,,,,,,
106010844,010844,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,Non-profit Corporation (incl. Church-related),Teaching,50-99,District 9,District 15,Berkeley South and West/Emeryville/Oakland Northwest,Urban,,,1609,,,,629,980,,,532,324,241,159,120,140,60,33,,194,1350,65,11,153,21,323,800,43,193,65,429,9,1076,3,12,80,,,,,,,,953,656,,16229,6,1593,10,,,,1384,38,5,25,100,6,29,,1,,1,,8,,12,,,1,1608,,312,637,600,2,,23,,34,1,,1,,,,1600,,,,,,,,,,,,,,,,8,302,,1,2,,,,,,2,1,,1,,,1265,35,5,270,,17,1317,,,,,,,
106010846,010846,ALAMEDA,HIGHLAND HOSPITAL,1411 E 31ST ST,OAKLAND,94602,City or County,Teaching,200-299,District 9,District 18,Oakland West Central,Urban,14681,87,2479,,566,11,9475,8345,4,1439,302,2413,2851,2151,2719,3083,1758,1104,4,5291,12348,185,61,1914,186,6297,3048,120,5733,465,12615,637,1380,358,198,906,10,,105,227,1388,,10805,26,6979,14,133268,8981,4053,1919,1388,1460,23,11568,822,333,1586,,325,725,399,1338,,28,121,221,,358,,,668,17155,1,4991,11147,895,58,238,152,,343,,,1502,552,115,770,2950,477,32,14,1681,736,1393,291,374,592,1634,1438,8,332,2680,249,4,2731,1476,1211,1087,20,18,16,154,46,614,914,400,85,291,209,8098,454,1,1937,3,95,15788,,,,,,,
106010887,010887,ALAMEDA,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DR,SAN LEANDRO,94577,Investor - Limited Liability Company,Teaching,50-99,District 9,District 18,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,331,,,,,,209,122,,,,,28,40,91,70,67,26,9,66,224,41,,53,,63,99,7,109,,,,331,,,,,,,,,,,,331,,23259,,,331,,,,10,117,19,103,1,,5,34,41,,,1,,,,,,16,315,,77,163,83,2,,6,,,,,11,1,,2,,1,,,5,230,10,15,13,10,,,,,22,11,,145,,33,19,1,,,,,13,10,,2,3,1,100,4,1,8,,2,320,,,,,,,
106010937,010937,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVE,OAKLAND,94609,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,9656,,,,724,,5219,5161,,,30,256,650,845,1437,2316,2470,2376,,1129,9091,160,23,1664,226,3786,3300,118,1192,71,8563,129,1170,364,12,127,14,1,,,,,7612,288,2480,,63533,5688,2611,2081,,,,4267,297,253,1517,73,1,266,382,3053,,1,261,8,,1,,,1059,9321,,5512,2415,2131,24,,141,,142,15,,1825,617,213,688,116,376,15,10,2828,492,989,89,372,513,14,,15,198,812,198,,1555,,1740,1227,3,23,,82,81,293,509,98,22,332,134,4016,265,4,549,6,76,9745,,,,,,,
106010967,010967,ALAMEDA,ST. ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,94545,Non-profit Corporation (incl. Church-related),Teaching,150-199,District 10,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,4209,,,,,,2084,2125,,315,52,331,368,361,534,878,690,680,,1346,2835,28,,879,140,612,1048,39,1451,40,3206,37,152,489,3,,,2,4,1,315,,3260,51,898,,17227,3274,272,348,315,,,2424,171,11,640,75,,123,163,530,,5,50,17,,,,,277,3932,,1615,2125,348,6,,14,26,75,,,586,54,35,243,83,105,3,9,794,283,514,57,209,248,352,315,,115,197,6,1,728,309,579,480,,,,41,7,52,255,13,12,45,25,1587,76,5,126,1,11,4066,,,,,,,
106010987,010987,ALAMEDA,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVE,FREMONT,94538,District,Teaching,300-499,District 10,District 20,Fremont East/Niles/Union City Central,Urban,11205,302,,,,,4981,6526,,1639,46,433,1464,649,1000,1763,2008,2505,,1483,9855,169,13,5295,105,543,3352,152,1818,229,7405,2109,,399,68,,,74,2,,1450,,7807,48,3652,,58714,7749,1400,906,1450,2,,6596,153,69,1460,,,,408,2622,,6,160,22,3,5,2,1,1173,10334,,4961,2104,4170,56,,57,,71,,88,1386,342,47,474,95,178,8,20,1821,770,1076,252,419,607,1532,1537,9,55,837,38,4,2949,1433,1218,850,6,18,,95,26,220,743,181,19,247,143,3108,251,11,149,30,59,11258,,,,,,,
106013687,013687,ALAMEDA,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,3012 SUMMIT ST,OAKLAND,94609,Non-profit Corporation (incl. Church-related),Teaching,1-49,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,,,,343,,,221,122,,,,64,102,55,76,32,,,14,45,279,19,,17,,40,227,29,30,,322,,18,1,2,,,,,,,,,12,331,,3747,,17,326,,,,304,6,,2,6,,20,1,,,,,3,,1,,,2,341,,4,1,304,,,27,,7,,,,,,,341,,,,,,,,,,,,,,,,2,309,,,,,,,,,,,,,,,33,1,1,18,,4,320,,,,,,,
