oshpd_id9,OSHPD_ID,FACILITY_NAME,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,TOC_Acute,TOC_Rehab,TOC_SN_IC,TOC_Unknown,TOC_Psych,TOC_Chem_Dep,Sex_Female,Sex_Male,Sex_Unknown,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_01_09,Age_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,racegrp_inv_blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Blank_Invalid,Route_Another_ER,Route_No_ER,Route_Your_ER,Route_NA,Adm_Elective,Adm_Emergency,Adm_NA,Adm_Urgent,Adm_Newborn,Adm_Trauma,DNR_No,DNR_Yes,DNR_Unknown,Admt_Amb_Surgery,Admt_Another_HCF,Admt_Clinic_Dr,Admt_Court_LE,Admt_DistinctPartXfer,Admt_Hosp_Dif,Admt_Non_HCF,Admt_SNF_ICF_ALF,Admt_HospiceFacility,Admt_NB_InHosp,Admt_NB_OutHosp,Admt_NA,Admt_NB_Illogical,Admt_Disaster_Care_Site,disp_Acute_Care,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_CAH,disp_Childrens_or_Cancer,disp_Disaster_Care_Site,disp_Other,disp_Invalid_Blank,Payer_County_Indigent_Prog,Payer_Medi_Cal,Payer_Medicare,Payer_Other_Government,Payer_Priv_Coverage,Payer_Self_Pay,Payer_Workers_Comp,Payer_Other_Payer,Payer_Other_Indigent,Payer_Unknown,dx_Circulatory,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,dx_Certain_Perinatal_Conditions,dx_Congenital,dx_Unacceptable_principal_dx,PR_Cardiovascular_System,PR_Diagnostic_Therapeutic,PR_Digestive_System,PR_Ear,PR_Female_Reproductive_System,PR_Integumentary_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_None,PR_Nose_Mouth_Pharynx,PR_Respiratory_System,PR_Urinary_System,PR_Endocrine_System,PR_Eye,PR_Hemic_Lymph_System,PR_Male_Reproductive_System,PR_No_Group_Assigned,PR_Obstetrical,Zip_CA_Resident,Zip_Homeless,Zip_Out_of_State,Zip_Blank_Invalid,Zip_Foreign,Zip_Unknown,Dsch_Days,teach_rural
106331194,331194,HEMET GLOBAL MEDICAL CENTER,Riverside,1117 E DEVONSHIRE AVE,HEMET,92543,Investor - Limited Liability Company,300-499,District 23,District 42,East Hemet/Hemet/Valle Vista,Urban,8601,,553,,,727,5359,4522,,86,713,836,774,1400,2169,1730,1553,620,,,95,167,1054,8,26,421,10,8092,8,2816,7014,51,,16,3099,6766,,2587,6636,3,37,618,,9643,238,,4,118,47,1,128,359,8429,148,16,613,,13,5,,604,535,408,1039,280,4,6,3,19,106,5330,1512,,7,,,28,,3536,5046,,1143,138,,,15,3,1083,961,92,7,439,4,101,624,1896,727,896,198,237,205,687,851,126,127,620,,,640,2809,635,1,95,151,534,14,3902,9,161,115,1,,18,43,127,626,9524,242,98,17,,,60578,NA
106331216,331216,JOHN F. KENNEDY MEMORIAL HOSPITAL,Riverside,47111 Monroe St,Indio,92201,Investor - Corporation,100-149,District 28,District 56,Arabia/Coachella/Desert Beach/Flowing Wells/Indio South/La Quinta East/Mecca/Oasis/Thermal,Urban,8496,,,,,,5201,3295,,218,1432,1120,532,780,872,844,661,1976,61,,2,53,187,46,14,22,34,8138,,6356,2104,32,4,22,4304,4170,,407,2977,,3184,1928,,8293,196,7,,6,15,24,3,84,6319,117,,1924,4,,,,224,189,304,575,64,17,28,15,7,12,6590,471,,,,,,3,4850,1429,57,2012,86,8,22,29,,715,652,31,5,252,1,15,322,1181,377,45,164,64,85,2146,360,67,57,1953,3,1,482,2886,468,4,139,94,381,29,1764,23,107,62,1,1,1,16,21,2017,8234,134,98,16,11,3,25901,NA
106331226,331226,PACIFIC GROVE HOSPITAL,Riverside,5900 BROCKTON AVE,RIVERSIDE,92506,Investor - Limited Liability Company,50-99,District 31,District 61,Casablanca/Riverside Central,Urban,,,,,2232,162,940,1453,1,104,558,485,413,394,326,100,13,,1,,9,39,249,2,,384,633,1078,,510,1490,394,,1591,803,,,478,616,,1300,,,2394,,,1,171,23,4,2,1591,598,3,,,,1,,,19,178,1,,,13,2,2,6,,2165,8,,,,,,,69,1042,121,1134,5,,23,,,,,,,,,,,,,2392,,,2,,,,,,,,,159,,,,,,,2235,,,,,,,,,,1860,496,37,1,,,19400,NA
106331288,331288,PALO VERDE HOSPITAL,Riverside,250 N 1ST ST,BLYTHE,92225,District,50-99,District 28,District 56,Blythe,Rural,530,,,,,,293,237,,15,95,70,52,58,64,45,34,97,,,2,3,71,2,,245,,207,,246,284,,,,230,300,,91,341,,1,97,,521,9,,,,31,,,,401,1,,95,2,,,,34,15,5,2,,2,41,2,,,412,17,,,,,,,292,129,,103,4,2,,,,24,93,5,,24,,,31,12,17,8,3,5,2,117,37,47,8,97,,,7,108,74,,13,23,9,,195,1,3,,,,,,,97,467,4,58,,1,,1769,Small/Rural
106331293,331293,DOCTORS HOSPITAL OF RIVERSIDE,Riverside,3865 JACKSON ST,RIVERSIDE,92503,Investor - Limited Liability Company,150-199,District 31,District 60,Casablanca/Riverside Central,Urban,7630,,,,,,4548,3082,,91,881,923,562,918,1185,1000,792,1278,,,29,236,542,35,30,2148,2,4601,7,3215,4407,,8,,3259,4371,,1884,4371,3,125,1247,,7411,219,,,42,45,4,71,167,5564,484,,1238,7,6,2,,216,277,356,841,158,,18,26,,8,4560,1168,,,,2,,,3114,2388,29,1621,453,16,,9,,502,724,96,1,528,1,25,340,1189,257,68,379,99,118,1324,450,125,125,1278,1,,422,1971,811,,48,54,505,18,2326,4,94,25,9,2,12,4,40,1285,7432,147,39,5,,7,32768,NA
106331312,331312,RIVERSIDE COMMUNITY HOSPITAL,Riverside,4445 MAGNOLIA AVE,RIVERSIDE,92501,Investor - Individual,300-499,District 31,District 61,Eastside/Fairmont Park/Riverside Downtown/Rubidoux/University,Urban,25899,,,,,,14574,11311,14,360,3384,3064,2062,3311,3914,3394,2626,3760,24,,39,754,2275,1476,43,10352,16,10942,2,12121,13571,207,,,7685,18214,,3912,16171,,754,3625,1437,25888,11,,,237,4091,17,,1511,16155,263,,3551,66,,8,,443,818,995,3433,652,2,34,50,181,71,16547,2663,2,6,,,2,2,10990,8301,264,5079,646,82,285,250,,3773,2338,266,25,1021,12,414,867,3231,2457,299,661,785,664,3977,853,224,269,3745,16,2,3298,1869,2751,11,298,685,1585,419,10472,39,456,286,38,5,103,74,536,2974,24830,753,247,,8,61,125533,NA
106331326,331326,SAN GORGONIO MEMORIAL HOSPITAL,Riverside,600 N Highland Springs Ave,Banning,92220,District,50-99,District 23,District 42,Banning/Beaumont/Cabizon/Calimesa/Cherry Valley,Urban,2810,,,,,,1506,1304,,28,221,247,204,344,538,517,505,206,,,56,43,181,22,38,104,,2364,2,901,1906,,3,,375,2433,2,48,2384,,120,204,54,2572,238,,1,21,246,2,1,7,2212,103,5,204,,8,,,166,147,122,423,80,,1,7,5,8,1518,329,,1,,,3,,869,1227,42,591,62,8,2,,9,288,406,21,1,175,,3,207,468,136,42,49,14,53,227,357,66,90,206,,1,172,1066,210,,8,24,111,7,927,,40,23,,,,5,12,205,2737,51,22,,,,10298,Small/Rural
106332172,332172,KINDRED HOSPITAL - RIVERSIDE,Riverside,2224 MEDICAL CENTER DR,PERRIS,92571,Investor - Corporation,1-49,District 31,District 61,Canyon Lake/Perris/Quail Valley/Romoland/Sun City/Winchester,Urban,299,,,,,,126,173,,1,11,23,26,56,88,67,27,,,,4,7,38,,10,106,,134,,99,193,7,,,299,,,299,,,,,,270,29,,,,,,,299,,,,,,,,,40,10,83,14,3,,3,,15,1,3,127,,,,,,,121,115,8,55,,,,,,6,10,,,7,,2,19,32,21,1,13,1,5,,168,11,3,,,,20,161,12,,,12,10,,76,,8,,,,,,,,292,6,1,,,,13132,NA
106334018,334018,MENIFEE GLOBAL MEDICAL CENTER,Riverside,28400 MCCALL BLVD,SUN CITY,92585,Investor - Limited Liability Company,50-99,District 23,District 67,Canyon Lake/Perris/Quail Valley/Romoland/Sun City/Winchester,Urban,3530,,,,,,1582,1947,1,28,416,562,437,549,585,470,483,,,,15,43,209,,16,234,34,2979,,1091,2398,41,,1,1257,2272,,1252,2265,2,11,,,3477,53,,,37,13,1,,10,3394,16,,,,59,,,184,417,93,183,75,1,,5,15,10,2212,334,,,,,1,,1857,1380,,258,33,,2,,,335,384,20,,162,1,1,147,481,191,1250,187,52,29,2,197,62,28,,1,,166,1518,217,,,26,261,42,1205,,26,2,1,,6,,60,,3453,40,27,10,,,16270,NA
106334025,334025,KAISER FOUNDATION HOSPITAL - RIVERSIDE,Riverside,10800 MAGNOLIA AVE,RIVERSIDE,92505,Non-profit Corporation (incl. Church-related),200-299,District 31,District 60,Arlington/Corona East/Home Gardens/La Sierra/Riverside Southwest,Urban,12411,,,,,,7734,4676,1,111,1703,2013,698,948,1240,1364,940,3393,1,,47,706,1180,76,58,4949,540,4855,,5114,7053,244,,263,8383,3765,,811,3127,,5228,3245,,11805,606,,124,56,476,2,,796,7662,48,,3239,6,2,,,220,57,359,1794,191,1,2,13,11,,9416,343,1,,,3,,,1503,3009,11,7717,157,11,3,,,755,730,56,3,293,4,79,329,1685,453,61,99,470,133,3354,363,77,76,3389,2,,666,1314,906,6,99,182,392,30,3868,162,216,211,9,3,21,952,201,3173,12350,50,11,,,,46704,NA
