oshpd_id9,OSHPD_ID,FACILITY_NAME,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,TOC_Acute,TOC_SN_IC,TOC_Rehab,TOC_Psych,TOC_Chem_Dep,TOC_Unknown,Sex_Female,Sex_Male,Sex_Unknown,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_01_09,Age_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,racegrp_inv_blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Blank_Invalid,Route_Another_ER,Route_No_ER,Route_Your_ER,Route_NA,Adm_Elective,Adm_Emergency,Adm_NA,Adm_Urgent,Adm_Newborn,Adm_Trauma,DNR_No,DNR_Yes,DNR_Unknown,Admt_Amb_Surgery,Admt_Another_HCF,Admt_Clinic_Dr,Admt_Court_LE,Admt_DistinctPartXfer,Admt_Hosp_Dif,Admt_NA,Admt_Non_HCF,Admt_SNF_ICF_ALF,Admt_HospiceFacility,Admt_NB_InHosp,Admt_NB_OutHosp,Admt_NB_Illogical,disp_Acute_Care,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Other,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_CAH,disp_Childrens_or_Cancer,disp_Not_Defined_Elsewhere,disp_Disaster_Care_Site,disp_Invalid_Blank,disp_Prison_Jail,Payer_County_Indigent_Prog,Payer_Medi_Cal,Payer_Medicare,Payer_Other_Government,Payer_Other_Payer,Payer_Priv_Coverage,Payer_Self_Pay,Payer_Workers_Comp,Payer_Other_Indigent,Payer_Unknown,DX_Blood_Forming,DX_Circulatory,DX_Digestive,DX_Endocrine,DX_Genitourinary,DX_Infections,DX_Injury_Poisoning,DX_Mental_Illness,DX_Muscoloskeletal,DX_Neoplasms,DX_Nervous_Sense,DX_No_Group_Assigned,DX_Pregnancy,DX_Residual,DX_Respiratory,DX_Skin,DX_Symptoms,DX_Congenital,DX_Perinatal,PR_Cardiovascular_System,PR_Diagnostic_Therapeutic,PR_Digestive_System,PR_Female_Reproductive_System,PR_Integumentary_System,PR_Male_Reproductive_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_None,PR_Respiratory_System,PR_Urinary_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Hemic_Lymph_System,PR_Nose_Mouth_Pharynx,PR_Obstetrical,PR_No_Group_Assigned,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,Zip_Blank_Invalid,Dsch_Days,teach_rural,,,,,,,,,,,,,,,,,,,,
106013687,013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Alameda,3012 Summit St,Oakland,94609,Non-profit Corporation (incl. Church-related),1-49,District 9,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,,,,,476,,185,291,,5,87,108,97,117,50,12,,,,,3,17,47,8,2,45,20,334,,63,371,42,,12,464,,,448,,,28,,,475,1,,,5,14,,,38,,418,1,,,,,16,37,,,,,1,2,11,406,1,,,2,,,,,,5,1,1,461,8,,,,,,,,,,,476,,,,,,,,,,,,,441,,,,,,,35,,,,,,,,,,463,,10,3,,,7289,NA,,,,,,,,,,,,,,,,,,,,
106014034,014034,FREMONT HOSPITAL,Alameda,39001 SUNDALE DR,FREMONT,94538,Investor - Corporation,100-149,District 10,District 25,Centerville/Fremont West/Irvington/Newark East Central,Urban,,,,5346,,,3013,2331,2,2747,939,604,408,362,183,53,28,,22,,2,808,393,7,,1560,,2576,,705,4356,283,2,4072,1271,3,,,3,,5343,,,5344,,2,,1178,6,24,,4065,,72,1,,,,,2,119,,3,,,10,1,559,4616,34,,,,,,2,154,1038,517,364,2,3270,1,,,,,,,,,,,5340,,,,,6,,,,,,,,253,,,,,,,5093,,,,,,,,,,5021,,279,34,3,9,41324,NA,,,,,,,,,,,,,,,,,,,,
106014050,014050,STANFORD HEALTH CARE - VALLEYCARE,Alameda,5555 W LAS POSITAS BLVD,PLEASANTON,94588,Non-profit Corporation (incl. Church-related),150-199,District 7,District 16,Dublin/Pleasanton/Santa Rita/Sunol,Urban,8104,392,,,,,5035,3461,,63,522,1243,496,797,1038,1332,1509,1462,34,,12,1798,324,160,41,1291,108,4754,8,1054,7284,150,8,5,4432,4059,,2900,4133,,70,1393,,7735,748,13,8,128,158,47,221,204,,5868,467,2,1386,2,5,342,,196,1128,111,26,11,37,3,5479,1128,,6,,,,29,,1290,3259,122,238,3312,190,85,,,31,928,650,354,285,859,586,140,623,209,108,3,1411,10,553,118,176,5,1447,582,851,738,40,118,15,792,74,3591,233,76,2,,,19,12,1352,1,8289,10,121,76,,,37822,NA,,,,,,,,,,,,,,,,,,,,
106014132,014132,KAISER FOUNDATION HOSPITAL - FREMONT,Alameda,39400 PASEO PADRE PKWY,FREMONT,94538,Non-profit Corporation (incl. Church-related),100-149,District 10,District 25,Fremont East/Niles/Union City Central,Urban,3860,,,32,,,2000,1892,,20,122,277,351,511,651,825,1135,,,,9,930,283,24,50,684,16,1896,,691,3193,8,,56,752,3084,,552,684,,2656,,,3123,769,,,132,169,,1,231,,3256,103,,,,,162,24,164,1149,138,,15,22,,1724,484,,,10,,,,,170,2347,,,1325,40,10,,,26,650,415,470,169,993,362,89,97,107,62,1,11,15,306,84,31,4,,246,819,716,16,87,12,269,31,1421,95,154,2,1,,10,13,,,3829,,51,11,,1,14242,NA,,,,,,,,,,,,,,,,,,,,
106014207,014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,Alameda,2633 E 27TH ST,Oakland,94601,Investor - Corporation,1-49,District 9,District 18,Oakland West Central,Urban,,,,1347,,,729,618,,106,468,240,163,189,136,39,6,,,,5,45,188,,2,420,24,663,,245,1058,44,,,1347,,,,,,1347,,,1347,,,,29,1,,,319,,998,,,,,,11,79,,,1,,,,118,1135,1,,,,,,2,,34,248,,31,1033,1,,,,,,,,,,,1346,,,,,,1,,,,,,,,,,,,,,1347,,,,,,,,,,1309,,33,5,,,7127,NA,,,,,,,,,,,,,,,,,,,,
106014226,014226,TELECARE WILLOW ROCK CENTER,Alameda,2050 Fairmont Dr,San Leandro,94578,Investor - Corporation,1-49,District 10,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,,,,521,,,321,200,,521,,,,,,,,,,,1,11,136,,4,255,12,102,,179,325,17,,,521,,,,,,521,,,521,,,,1,,16,,8,,496,,,,,,3,13,,,,,,,13,483,,,,,,,9,380,,,,,140,1,,,,,,,,,,,521,,,,,,,,,,,,,,,,,,,,521,,,,,,,,,,515,,1,1,4,,3991,NA,,,,,,,,,,,,,,,,,,,,
106014233,014233,EDEN MEDICAL CENTER,Alameda,20103 Lake Chabot Rd,Castro Valley,94546,Non-profit Corporation (incl. Church-related),100-149,District 10,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,10064,,,,,,5517,4547,,102,735,1110,682,1285,1604,1526,1925,1095,,,10,1280,1427,206,498,1697,117,4829,,2342,7586,136,,104,2881,7079,,1139,4022,,2720,1080,1103,9242,822,,2,52,169,12,2,271,,7824,651,1,1073,7,,505,166,355,1363,247,,31,262,82,5185,1850,2,1,7,,,8,,2600,4046,90,17,3072,174,65,,,94,1410,851,363,380,1351,1557,191,425,314,248,8,1125,9,449,111,78,6,1094,637,1408,824,51,320,80,866,247,4119,258,108,7,7,18,33,15,1066,,9752,1,217,71,23,,45162,NA,,,,,,,,,,,,,,,,,,,,
106014326,014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,Alameda,275 W MacArthur Blvd,Oakland,94611,Non-profit Corporation (incl. Church-related),300-499,District 9,District 15,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,24492,,,,,,13892,10600,,850,1326,3271,1702,2405,3697,3524,3245,3521,948,3,107,3536,5851,370,194,4509,597,9328,,4040,19933,519,,983,11840,11669,,4697,2133,22,14587,3053,,22299,2193,,,53,466,3,4,1761,38,18727,387,,3043,4,6,533,213,551,2139,323,12,47,180,17,18447,1981,1,3,39,,,6,,2407,8947,161,,12552,396,25,,4,265,3080,2035,1081,602,2527,1585,373,1325,2127,534,10,3318,81,1623,268,241,219,3198,1407,5980,2431,185,435,513,1762,771,6064,822,582,28,33,9,188,187,3095,,24037,,372,74,3,6,97415,NA,,,,,,,,,,,,,,,,,,,,
106014337,014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,Alameda,2500 Merced St,San Leandro,94577,Non-profit Corporation (incl. Church-related),200-299,District 9,District 18,San Leandro West/San Lorenzo West/Hayward West,Urban,15780,,,,,,10041,5739,,76,1616,2988,750,1078,1719,1796,1688,4067,,2,45,4684,2141,319,312,3486,156,4637,,3721,11911,148,,126,10115,5539,,2236,1128,,8436,3980,,14618,1162,,,236,316,,,480,1,10290,477,,3977,2,1,240,74,322,3215,172,,22,46,2,10532,1145,,1,8,,,1,,1088,4475,19,1,10007,175,15,,,64,1252,871,344,314,1705,800,144,940,211,124,1,4215,16,521,113,76,9,4060,667,4457,959,60,197,890,1428,63,2574,133,265,3,4,4,12,82,3982,,15706,,52,20,,2,50243,NA,,,,,,,,,,,,,,,,,,,,
106034002,034002,SUTTER AMADOR HOSPITAL,Amador,200 MISSION BLVD,JACKSON,95642,Non-profit Corporation (incl. Church-related),50-99,District 8,District 5,Ione/Jackson/Pine Grove/Sutter Creek,Rural,2560,,,,,,1474,1086,,22,184,188,112,264,424,509,583,274,,,28,8,16,61,8,80,20,2339,,174,2308,78,,1,709,1850,,320,1317,1,653,269,,2196,364,,1,1,15,26,,12,,2135,101,,267,2,,137,29,58,459,46,,3,15,14,1416,370,2,,2,,,9,,626,1415,64,2,415,32,6,,,10,337,287,83,73,456,255,45,76,31,50,2,293,5,220,37,26,,274,135,261,222,4,48,,190,10,1377,40,5,,1,,3,,264,,2524,,18,10,8,,9010,Small/Rural,,,,,,,,,,,,,,,,,,,,
