oshpd_id9,OSHPD_ID,FACILITY_NAME,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,TOC_Acute,TOC_SN_IC,TOC_Rehab,TOC_Psych,TOC_Chem_Dep,TOC_Unknown,Sex_Female,Sex_Male,Sex_Unknown,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_01_09,Age_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,racegrp_inv_blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Blank_Invalid,Route_Another_ER,Route_No_ER,Route_Your_ER,Route_NA,Adm_Elective,Adm_Emergency,Adm_NA,Adm_Urgent,Adm_Newborn,Adm_Trauma,DNR_No,DNR_Yes,DNR_Unknown,Admt_Amb_Surgery,Admt_Another_HCF,Admt_Clinic_Dr,Admt_Court_LE,Admt_DistinctPartXfer,Admt_Hosp_Dif,Admt_NA,Admt_Non_HCF,Admt_SNF_ICF_ALF,Admt_HospiceFacility,Admt_NB_InHosp,Admt_NB_OutHosp,Admt_NB_Illogical,disp_Acute_Care,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Other,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_CAH,disp_Childrens_or_Cancer,disp_Not_Defined_Elsewhere,disp_Disaster_Care_Site,disp_Invalid_Blank,disp_Prison_Jail,Payer_County_Indigent_Prog,Payer_Medi_Cal,Payer_Medicare,Payer_Other_Government,Payer_Other_Payer,Payer_Priv_Coverage,Payer_Self_Pay,Payer_Workers_Comp,Payer_Other_Indigent,Payer_Unknown,DX_Blood_Forming,DX_Circulatory,DX_Digestive,DX_Endocrine,DX_Genitourinary,DX_Infections,DX_Injury_Poisoning,DX_Mental_Illness,DX_Muscoloskeletal,DX_Neoplasms,DX_Nervous_Sense,DX_No_Group_Assigned,DX_Pregnancy,DX_Residual,DX_Respiratory,DX_Skin,DX_Symptoms,DX_Congenital,DX_Perinatal,PR_Cardiovascular_System,PR_Diagnostic_Therapeutic,PR_Digestive_System,PR_Female_Reproductive_System,PR_Integumentary_System,PR_Male_Reproductive_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_None,PR_Respiratory_System,PR_Urinary_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Hemic_Lymph_System,PR_Nose_Mouth_Pharynx,PR_Obstetrical,PR_No_Group_Assigned,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,Zip_Blank_Invalid,Dsch_Days,teach_rural,,,,,,,,,,,,,,,,,,,,
106190256,190256,EAST LOS ANGELES DOCTORS HOSPITAL,Los Angeles,4060 WHITTIER BLVD,LOS ANGELES,90023,Investor - Individual,100-149,District 24,District 51,City Terrace East/East Los Angeles,Urban,4013,13,,,,,2426,1600,,128,558,546,353,476,460,243,300,881,81,,3,65,340,131,2,702,12,2771,,3354,671,1,,195,1997,1834,,895,1702,,620,809,,4003,23,,,,40,1,54,291,2,2628,199,2,809,,,172,226,38,96,6,,,1,11,3083,380,2,10,,,,1,,3105,679,2,1,192,46,1,,,20,398,373,135,254,311,135,61,21,58,66,4,869,2,326,136,14,,843,220,1009,234,115,60,8,38,1,1484,20,30,,,,,2,805,,3920,,82,7,17,,18268,NA,,,,,,,,,,,,,,,,,,,,
106190280,190280,ENCINO HOSPITAL MEDICAL CENTER,Los Angeles,16237 VENTURA BLVD,ENCINO,91436,Non-profit Corporation (incl. Church-related),100-149,District 27,District 45,Encino/Tarzana/Warner Center/Woodland Hills,Urban,1742,13,219,458,,,1299,1133,,7,99,148,182,273,406,511,806,,,,1,41,178,13,29,300,55,1815,,298,2106,28,,12,391,2029,,331,373,,1728,,,2266,166,,3,21,73,6,145,453,,1328,403,,,,,103,116,39,343,24,5,41,117,204,819,571,,,50,,,,,459,1665,,,268,27,13,,,18,329,236,101,152,286,201,601,82,18,131,2,1,2,145,60,66,1,,198,327,110,4,75,,66,16,1608,11,14,,1,,,2,,,2220,,153,58,1,,15068,NA,,,,,,,,,,,,,,,,,,,,
106190298,190298,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,Los Angeles,250 S GRAND AVE,GLENDORA,91741,Non-profit Corporation (incl. Church-related),100-149,District 25,District 48,Asuza/Charter Oak/Covina,Urban,5900,,,,,,3212,2686,2,54,424,576,465,812,1012,948,1124,485,,,13,416,177,,11,120,473,4690,,2239,3580,81,,10,1538,4352,,647,1548,8,3212,485,,5754,146,,3,25,367,1,9,39,3,4636,330,2,484,1,,361,134,111,571,153,,32,58,23,3617,838,,,1,,,1,,1554,2724,33,1,1290,287,11,,,99,739,946,269,395,505,435,97,129,294,155,5,511,16,612,126,80,2,485,310,1122,915,71,123,76,219,27,2246,109,165,1,9,,17,5,485,,5722,,136,29,13,,24152,NA,,,,,,,,,,,,,,,,,,,,
106190305,190305,KINDRED HOSPITAL - LOS ANGELES,Los Angeles,5525 W SLAUSON AVE,LOS ANGELES,90056,Investor - Limited Liability Company,50-99,District 30,District 54,Baldwin Hills/Culver City South/Fox Hills/Ladera Heights/Marina del Rey/View Park/Windsor Hills,Urban,518,,,,,,236,282,,1,6,14,25,50,115,131,176,,,,,22,187,,,86,,223,,78,432,8,,,518,,,518,,,,,,518,,,,,,,,518,,,,,,,,36,13,151,26,6,,,10,,31,245,,,,,,,,68,344,15,,89,,2,,,1,25,9,11,7,149,32,2,5,4,1,1,,,250,12,9,,,71,190,37,,14,,27,,171,7,,,,,1,,,,513,,2,2,1,,28176,NA,,,,,,,,,,,,,,,,,,,,
106190315,190315,GARFIELD MEDICAL CENTER,Los Angeles,525 N GARFIELD AVE,MONTEREY PARK,91754,Investor - Individual,200-299,District 22,District 49,Montebello North/Monterey Park/South San Gabriel,Urban,12148,,391,,,,7235,5304,,119,1040,1770,748,1058,1574,1565,2188,2465,12,,9,8313,105,12,1,183,16,3900,,3299,9232,8,,476,6535,5528,,1718,169,,8214,2438,,12313,226,,4,21,542,2,,1226,,8084,222,,2436,,2,217,195,297,1782,93,,18,273,1,8543,1099,,20,,,,1,,4473,4227,7,29,1873,1927,3,,,91,2181,863,353,587,662,667,97,200,750,226,6,2518,12,618,115,123,9,2461,1209,822,968,283,166,211,252,132,5540,219,260,4,16,,27,16,2414,,12405,7,72,39,12,4,58514,NA,,,,,,,,,,,,,,,,,,,,
106190317,190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,Los Angeles,1891 EFFIE ST,LOS ANGELES,90026,Non-profit Corporation (incl. Church-related),50-99,District 24,District 51,Echo Park/Hollywood North Central/Silverlake South,Urban,,,,762,,,351,411,,485,109,85,48,35,,,,,,,8,37,130,15,5,17,,550,,452,310,,,344,418,,,,303,,459,,,762,,,,5,253,4,,345,,155,,,,,,11,36,,,,,3,,52,617,30,,,,,,13,430,332,,,,,,,,,,,,,,,,762,,,,,,,,,,,,,761,,,,,1,,,,,,,,,,,,604,3,147,7,1,,12013,NA,,,,,,,,,,,,,,,,,,,,
106190323,190323,ADVENTIST HEALTH GLENDALE,Los Angeles,1509 Wilson Ter,Glendale,91206,Non-profit Corporation (incl. Church-related),500+,District 25,District 43,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,Urban,19415,264,544,1669,,,11949,9943,,147,1594,2456,1704,2405,3492,3565,4845,1684,,,25,1610,634,43,52,1690,687,17116,35,4563,16758,550,21,236,7272,14374,10,3337,6671,5,10220,1658,1,20548,1344,,20,49,401,29,1131,971,1,16557,1070,5,1657,1,,585,581,439,3689,277,,125,537,91,12762,2725,,4,49,,19,9,,6294,10528,204,7,4260,535,38,,26,190,4078,1783,720,932,1829,1556,2416,1014,837,571,20,1823,27,1465,363,566,22,1680,2276,3787,1648,222,357,183,1332,355,9160,455,253,6,33,2,54,45,1724,,21203,1,488,105,86,9,106533,NA,,,,,,,,,,,,,,,,,,,,
106190328,190328,GLENDORA OAKS BEHAVIORAL HEALTH HOSPITAL,Los Angeles,150 W Route 66,Glendora,91740,Investor - Individual,1-49,District 25,District 48,Asuza/Charter Oak/Covina,Urban,843,,,593,,,696,740,,4,24,43,60,191,382,342,390,,,,,112,150,21,1,82,5,1065,,380,1056,,,28,213,1195,,,43,,1392,1,,1368,68,,,145,11,,,857,,365,57,,,1,,149,29,14,8,,,31,,,196,1006,,,3,,,,,201,1194,,,38,3,,,,6,86,100,44,69,245,62,668,13,12,37,,,,46,37,11,,,28,68,96,,13,2,6,,1209,6,7,,,,1,,,,1371,,52,8,5,,10862,NA,,,,,,,,,,,,,,,,,,,,
106190352,190352,GREATER EL MONTE COMMUNITY HOSPITAL,Los Angeles,1701 SANTA ANITA AVE,SOUTH EL MONTE,91733,Investor - Corporation,100-149,District 22,District 57,Bassett/Industry West/La Puente,Urban,3034,7,,,,,1491,1550,,125,198,261,351,490,496,327,419,196,178,,35,456,75,12,8,610,372,1473,,2053,725,262,1,128,468,2445,,303,2451,,157,130,,2938,103,,,3,187,,5,128,,2546,42,,130,,,260,158,109,20,4,,4,4,1,2082,342,,54,2,,,1,,1841,966,3,19,125,84,2,1,,14,589,429,186,102,537,85,68,22,31,101,2,159,4,450,60,72,,130,209,695,319,22,39,8,14,11,1552,14,19,,,1,1,3,134,,2937,,96,8,,,17350,NA,,,,,,,,,,,,,,,,,,,,
106190380,190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,Los Angeles,6245 DE LONGPRE AVE,HOLLYWOOD,90028,Investor - Corporation,100-149,District 26,District 50,Hollywood South Central/Inner Sunset,Urban,4046,,,3340,,,2449,4937,,30,485,1003,1091,1673,1467,832,805,,,,22,333,2140,290,13,1289,65,3234,,1783,5516,87,,2349,5037,,,1908,3551,,1927,,,7372,14,,,21,56,1,1,3872,2,460,2973,,,,,198,215,51,5,2,,100,33,1098,4039,1504,,1,132,,,8,,3940,3367,2,,75,2,,,,37,328,352,450,580,934,318,3391,122,53,222,2,1,9,303,225,58,1,,178,3498,430,,51,37,69,,3026,34,54,,1,,7,1,,,6743,1,565,36,,41,39920,NA,,,,,,,,,,,,,,,,,,,,
106190382,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Los Angeles,1300 N VERMONT AVE,LOS ANGELES,90027,Investor - Individual,300-499,District 24,District 43,Hollywood South Central/Inner Sunset,Urban,14954,200,354,,,,9053,6455,,180,1867,2182,1174,1581,2092,1694,1950,2786,2,,4,3019,1626,77,49,8694,11,2028,,6712,8742,50,4,,9134,6374,,5388,6374,,989,2757,,15252,256,,,68,,,2124,,,9697,851,11,2750,4,3,446,567,318,620,56,,13,254,,11481,1603,,,140,,8,2,,9105,4111,,74,1636,582,,,,108,2151,1312,484,517,1200,902,277,474,549,399,3,2987,22,902,241,193,5,2782,1126,1580,1080,229,176,153,503,190,7233,223,204,3,14,5,32,8,2749,,14918,4,442,96,37,11,85356,NA,,,,,,,,,,,,,,,,,,,,
106190385,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,Los Angeles,15031 RINALDI ST,MISSION HILLS,91345,Non-profit Corporation (incl. Church-related),300-499,District 18,District 39,Granada Hills/Mission Hills/Porter Ranch,Urban,21095,107,216,,,,12488,8930,,245,2370,2563,1656,2360,3184,2951,2989,3100,,,23,927,820,630,112,9562,175,9138,31,12423,8761,203,31,21,9501,11895,1,5543,11381,7,647,3091,749,20961,457,,,14,172,1,96,266,3,17512,262,1,3082,9,,533,247,392,3501,263,,27,107,17,14017,2275,,15,1,,16,7,28,7476,7659,120,2,5524,531,78,,,160,2985,1741,695,1042,2003,2131,217,916,1023,425,3,3472,17,1014,276,183,17,3098,1549,2165,1978,495,491,456,1628,302,8364,417,266,7,53,7,105,33,3102,,21034,4,292,85,1,2,103060,NA,,,,,,,,,,,,,,,,,,,,
106190392,190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,Los Angeles,1225 WILSHIRE BLVD,LOS ANGELES,90017,Non-profit Corporation (incl. Church-related),300-499,District 24,District 53,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake,Urban,14975,,408,,,,8824,6554,5,166,1423,2092,1035,1425,1997,2111,2502,2632,,,2,2931,1960,,79,205,230,9976,,7420,7914,49,,81,8249,7053,,3982,670,3,8114,2614,,15076,307,,4,1,1573,5,436,321,32,10102,295,,2605,7,2,309,452,464,1409,67,,8,457,54,10580,1538,,16,23,,,6,,6108,3963,32,31,4874,255,34,86,,115,3251,938,418,337,1544,797,178,611,425,445,26,2740,21,557,140,192,16,2632,2068,1244,1102,114,152,202,758,225,6498,271,74,2,16,9,34,17,2597,,14458,10,686,214,3,12,76302,NA,,,,,,,,,,,,,,,,,,,,
106190400,190400,HUNTINGTON MEMORIAL HOSPITAL,Los Angeles,100 W CALIFORNIA BLVD,PASADENA,91105,Non-profit Corporation (incl. Church-related),500+,District 25,District 41,Pasadena South/San Marino/South Pasadena,Urban,29428,,338,1027,97,,17637,13251,2,559,2236,4141,2703,3301,4397,4557,4818,3713,465,,58,4493,2889,575,96,7448,282,15048,1,9095,21017,762,16,44,12151,18693,2,6393,3773,24,16664,3375,661,30356,534,,6,280,821,7,1802,484,27,23400,687,1,3357,13,5,538,377,552,2391,260,,102,300,40,23083,3081,,15,135,,2,14,,5606,10021,495,13,13652,738,247,3,115,364,3731,2863,986,1237,1648,2837,1645,2470,1653,852,41,3829,54,2040,562,432,130,3516,2090,7210,2713,388,763,778,3213,590,8094,784,394,23,55,17,138,138,3502,,29332,103,1169,262,22,2,129587,Teaching,,,,,,,,,,,,,,,,,,,,
106190413,190413,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,Los Angeles,210 W SAN BERNARDINO RD,COVINA,91723,Investor - Corporation,150-199,District 22,District 48,Asuza/Charter Oak/Covina,Urban,7111,368,,1642,,,4289,4832,,74,715,820,884,1379,1664,1677,1908,,,,6,773,378,2,28,223,375,7331,5,4333,4726,62,,456,1846,6819,,1745,431,12,6933,,,8845,276,,1,76,249,26,333,1140,8,6806,481,1,,,,509,219,248,1453,164,,63,48,28,5003,1336,,2,,,,48,,2871,4789,37,,1133,268,23,,,129,2285,970,538,395,606,624,1742,261,250,193,7,19,16,713,182,187,4,,1776,987,877,16,198,2,402,72,4560,135,64,1,6,,20,5,,,8391,1,627,41,57,4,41008,NA,,,,,,,,,,,,,,,,,,,,
106190422,190422,TORRANCE MEMORIAL MEDICAL CENTER,Los Angeles,3330 Lomita Blvd,Torrance,90505,Non-profit Corporation (incl. Church-related),500+,District 26,District 66,Harbor Gateway South/Lomita/Torrance East Central,Urban,27854,767,,,,,16756,11863,2,259,1490,2799,2015,3013,4206,5287,6472,2731,349,,62,3991,2830,247,225,6577,591,14092,6,6561,20673,1375,12,193,10517,17911,,5888,17962,3,2231,2537,,27550,1032,39,15,346,,22,,1005,445,23645,606,,2532,3,2,422,253,589,4288,359,17,70,105,210,19099,3191,,14,1,,1,2,,2749,14148,192,1,10990,373,119,,49,294,5113,3375,1133,1408,2275,2234,345,2026,1204,662,36,2791,52,1879,473,713,21,2587,2593,3205,2982,408,615,377,2296,491,12127,552,324,14,35,11,103,50,2438,,28332,1,76,203,3,6,118424,NA,,,,,,,,,,,,,,,,,,,,
106190429,190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,Los Angeles,4867 W SUNSET BLVD,LOS ANGELES,90027,Non-profit Corporation (incl. Church-related),300-499,District 24,District 43,Hollywood South Central/Inner Sunset,Urban,26611,,,3909,,,15517,15002,1,1208,3095,3594,2308,3302,4622,4681,3370,3383,957,,84,4070,3684,197,175,11257,509,10544,,11818,18422,280,,5835,16557,8128,,7167,6123,3,14455,2772,,29027,1493,,8,23,1724,2,7,10662,34,15130,157,1,2762,10,,724,218,609,6412,253,13,25,55,1,20915,1268,,7,16,,,4,,2378,10579,48,1,17136,361,17,,,234,6880,1896,680,643,1675,1907,4188,1555,2090,964,18,3036,35,1008,142,250,428,2891,4966,4611,2070,280,355,565,1706,1433,10584,435,468,17,145,8,112,120,2645,,29755,2,673,87,1,2,145622,Teaching,,,,,,,,,,,,,,,,,,,,
106190431,190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,Los Angeles,25825 VERMONT AVE,HARBOR CITY,90710,Non-profit Corporation (incl. Church-related),200-299,District 35,District 66,Harbor Gateway South/Lomita/Torrance East Central,Urban,12631,,,,,,8008,4623,,83,1314,2153,1005,1016,1365,1493,1632,2567,2,1,47,1460,3432,67,211,4172,136,3106,,4296,8280,55,,432,7630,4569,,2536,4180,11,3366,2538,,11904,727,,3,7,291,,,1038,4,8665,85,,2527,11,,246,62,341,2212,241,4,6,12,1,8845,658,,1,1,,,1,,1232,3869,5,,7419,105,1,,,67,1172,954,1290,260,1362,683,81,378,500,135,2,2653,10,424,38,50,3,2569,745,1578,2061,87,244,734,707,67,3389,179,238,6,9,1,42,18,2526,,12504,,96,31,,,42400,NA,,,,,,,,,,,,,,,,,,,,
106190432,190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,Los Angeles,13652 Cantara St,Panorama City,91402,Non-profit Corporation (incl. Church-related),200-299,District 18,District 46,Northridge South/Reseda North,Urban,10696,,,,,,6698,3998,,81,1155,1820,553,743,1207,1336,1195,2599,5,2,22,1180,613,44,97,4396,159,4185,,4463,6161,72,,151,7017,3528,,1636,3343,1,3188,2526,2,9877,819,,2,,345,,1,777,104,6849,92,,2523,3,,173,36,218,1409,181,6,7,15,1,7939,709,,1,,,,1,,940,3160,2,,6515,70,9,,,80,830,791,195,217,1091,646,55,269,716,101,2,2642,6,358,56,35,9,2597,497,1509,938,170,137,600,711,69,3119,239,172,2,18,1,27,15,2472,,10639,,45,12,,,35094,NA,,,,,,,,,,,,,,,,,,,,
106190434,190434,KAISER FOUNDATION HOSPITAL - WEST LA,Los Angeles,6041 CADILLAC AVE,LOS ANGELES,90034,Non-profit Corporation (incl. Church-related),200-299,District 30,District 54,Hancock Park/Mid-City West/Park La Brea,Urban,10723,,,,,,6808,3914,1,88,1062,1726,880,981,1223,1340,1479,1941,3,,36,662,4287,154,29,2958,97,2500,,3161,7498,64,,612,6543,3568,,2891,2657,4,3263,1908,,10118,605,,5,4,431,,1,1105,15,7189,65,,1905,3,,265,35,279,2004,185,6,6,22,2,7363,551,,,5,,,,,1240,3455,4,2,5842,179,1,,,126,1030,776,1151,251,1187,549,162,272,558,133,,2011,10,443,55,47,23,1939,514,1522,1928,144,182,527,548,38,2911,278,231,5,8,3,27,46,1810,1,10605,,89,27,,2,35877,NA,,,,,,,,,,,,,,,,,,,,
106190449,190449,KINDRED HOSPITAL - LA MIRADA,Los Angeles,14900 Imperial Hwy,La Mirada,90638,Investor - Limited Liability Company,100-149,District 32,District 57,La Mirada/Santa Fe Springs South,Urban,1799,,,,,,806,993,,,22,42,96,210,421,443,565,,,,7,278,129,,7,385,,993,,319,1421,59,,,1799,,,1796,1,2,,,,1775,24,,,2,,,,1796,,,1,,,,,174,24,315,199,70,,,28,2,69,918,,,,,,,,170,1293,44,,287,,5,,,6,132,59,45,95,521,145,5,17,8,20,,,1,650,44,51,,,249,404,122,,48,2,45,1,886,29,7,,1,1,,4,,,1769,2,17,8,2,1,49096,NA,,,,,,,,,,,,,,,,,,,,
106190462,190462,AURORA LAS ENCINAS HOSPITAL,Los Angeles,2900 E Del Mar Blvd,Pasadena,91107,Investor - Limited Liability Company,100-149,District 25,District 41,Pasadena South/San Marino/South Pasadena,Urban,,,,4364,284,,1935,2713,,262,1458,1126,760,668,301,65,8,,,,12,256,699,31,9,785,45,2811,,1010,3631,7,,3338,1310,,,278,849,1,3520,,,4648,,,,32,31,167,13,3384,18,1002,1,,,,,39,92,,,1,1,1,124,101,3978,135,,,169,,,7,108,98,1038,92,566,1770,85,,891,,,,,,,,,4645,,,3,,,,,,,,,,587,,,,,,,4061,,,,,,,,,,4043,,335,267,1,2,25582,NA,,,,,,,,,,,,,,,,,,,,
106190470,190470,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,Los Angeles,4101 TORRANCE BLVD,TORRANCE,90503,Non-profit Corporation (incl. Church-related),300-499,District 26,District 66,Redondo Beach Central and South/Torrance West Central,Urban,19293,1801,1,,,2,12512,8585,,228,1506,2519,1381,2056,2860,3185,4137,2990,235,,19,2493,3040,317,197,3533,603,10795,100,6056,14348,592,101,209,9549,11333,6,5565,11353,9,1459,2711,,20276,821,,2,157,88,2,1338,1109,3,15462,221,4,2701,10,,642,221,524,2555,424,,45,152,16,14145,2331,4,5,1,,30,2,,4603,8951,170,4,6662,588,119,,,177,3454,1861,767,954,1623,1529,344,930,826,562,8,2933,22,1242,317,673,21,2854,1716,1783,1780,280,344,479,1148,399,9885,265,176,5,25,2,78,56,2676,,20595,32,279,185,5,1,94675,NA,,,,,,,,,,,,,,,,,,,,
106190500,190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,Los Angeles,4650 Lincoln Blvd,Marina del Rey,90292,Non-profit Corporation (incl. Church-related),100-149,District 26,District 62,Baldwin Hills/Culver City South/Fox Hills/Ladera Heights/Marina del Rey/View Park/Windsor Hills,Urban,4738,,,84,,,2484,2338,,25,258,383,492,772,901,928,1063,,,,5,218,1049,23,18,329,16,3159,5,704,4089,29,,12,1331,3479,,1293,3484,,45,,,4612,210,,2,11,31,1,,24,,4551,202,,,,,241,131,90,619,70,,12,136,16,2781,689,,,37,,,,,526,2491,7,,1459,108,231,,,36,515,508,548,192,823,450,132,910,79,122,6,9,6,361,82,41,2,,324,220,826,13,86,2,941,160,2088,92,47,2,1,,8,9,3,,4331,38,222,230,,1,17246,NA,,,,,,,,,,,,,,,,,,,,
106190517,190517,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER,Los Angeles,18321 CLARK ST,TARZANA,91356,Investor - Limited Liability Company,200-299,District 27,District 45,Encino/Tarzana/Warner Center/Woodland Hills,Urban,14631,,,,,65,8726,5969,1,430,953,2024,718,983,1546,1760,2680,2896,706,,8,542,459,274,28,2606,101,10677,1,2963,11630,102,1,690,6893,7046,67,2929,7157,,2108,2500,2,14485,211,,2,6,355,,20,902,,10290,620,1,2493,2,5,185,174,220,1859,161,,28,45,71,10305,1621,,20,7,,,,,3344,5203,50,,5644,442,13,,,125,1825,1375,462,688,986,828,155,589,494,256,12,2630,10,1215,224,194,25,2603,1061,840,1271,244,191,524,732,216,6526,221,195,14,30,1,47,67,2516,,14502,4,112,77,1,,50603,NA,,,,,,,,,,,,,,,,,,,,
106190521,190521,MEMORIAL HOSPITAL OF GARDENA,Los Angeles,1145 W REDONDO BEACH BLVD,GARDENA,90247,Investor - Individual,150-199,District 35,District 66,Gardena Southeast/Harbor Gateway Central/Lawndale South/Moneta/Redondo Beach North/Torrance North,Urban,6532,71,,,,,3664,2939,,73,600,667,685,1218,1390,782,714,474,,,8,276,3002,1,20,1486,69,1741,,2337,4178,88,,62,2255,4286,,700,5426,,3,474,,6575,28,,1,2,30,2,37,166,26,5725,139,1,473,1,,427,522,124,194,17,,7,4,52,4195,1045,7,8,,,,1,,4021,2119,16,6,339,95,7,,,66,1113,742,394,371,681,461,178,124,163,283,3,588,19,661,166,116,,474,633,1259,474,71,101,8,143,12,3254,70,55,,3,3,4,5,508,,6370,,186,25,22,,45309,NA,,,,,,,,,,,,,,,,,,,,
106190522,190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,Los Angeles,1420 S CENTRAL AVE,GLENDALE,91204,Non-profit Corporation (incl. Church-related),300-499,District 25,District 43,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,Urban,9521,5,300,1043,,,6163,4704,2,133,1397,1336,754,1138,1314,1415,1838,1544,,,,454,4,6,718,,104,9583,,3621,6967,281,,424,4638,5807,,2898,5852,9,637,1473,,10730,139,,,51,,,394,794,4,8067,86,,1460,2,11,307,1207,154,1465,79,,60,270,20,7257,6,,,43,,,1,,5377,3971,11,,1308,193,7,2,,59,1736,828,246,367,747,573,1298,418,268,240,14,1621,6,636,122,147,2,1541,951,2223,811,81,144,29,544,85,4215,206,73,,2,,21,1,1483,,10430,7,332,51,49,,44940,NA,,,,,,,,,,,,,,,,,,,,
106190524,190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,Los Angeles,14850 ROSCOE BLVD,PANORAMA CITY,91402,Investor - Limited Liability Company,100-149,District 18,District 46,Northridge South/Reseda North,Urban,4937,,,2738,,3,3405,4273,,53,821,1013,1000,1510,1410,907,964,,,,15,,1153,16,519,44,22,5909,,2692,4955,30,1,1037,734,5907,,569,5157,1,1951,,,7523,154,1,,,126,62,45,1149,10,4777,1509,,,,,98,276,81,465,28,3,35,59,,4649,1951,4,1,28,,,,3,2662,2601,14,,2210,92,94,,2,44,691,578,246,383,814,395,2915,699,76,154,,3,9,432,137,100,2,,353,890,529,12,78,5,732,87,4874,62,45,,3,,6,2,,,6772,1,866,28,8,3,38856,NA,,,,,,,,,,,,,,,,,,,,
106190525,190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,Los Angeles,2801 ATLANTIC AVE,LONG BEACH,90806,Non-profit Corporation (incl. Church-related),300-499,District 33,District 70,Bixby Knolls/Long Beach Central,Urban,21076,,499,,,,11676,9899,,197,1376,1790,2206,3513,4765,4111,3617,,,,87,2128,3686,484,320,4055,158,10650,7,6612,14768,193,2,,5570,16005,,4605,14927,,1252,,791,20668,907,,,7,28,1,23,864,,20529,123,,,,,557,,531,2567,147,,20,383,7,14536,2776,1,42,2,,,6,1,5555,10700,148,,4725,282,164,,,310,4800,2430,1034,1097,1917,2793,281,1836,1743,926,39,225,67,1217,358,462,40,,2669,2757,2574,549,770,80,2483,544,7835,574,284,28,154,14,127,100,33,,21186,11,197,177,3,1,103185,Teaching,,,,,,,,,,,,,,,,,,,,
106190529,190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,Los Angeles,300 W HUNTINGTON DR,ARCADIA,91007,Non-profit Corporation (incl. Church-related),300-499,District 22,District 49,Arcadia Central and Northeast/Bradbury/Monrovia/Sierra Madre,Urban,16159,,712,,,,9835,7035,1,64,726,1722,1047,1730,2613,3026,4366,1577,,,8,4725,660,58,,5211,22,6187,,838,16010,23,,,5753,11118,,2922,11118,9,1281,1541,,15885,986,,3,60,226,2,601,181,1,14048,208,,1540,1,,647,263,542,2735,204,,24,677,1,9452,2325,,,,,,1,,1099,8253,49,,6484,847,130,9,,178,2979,1593,787,794,1352,1535,184,982,878,650,16,1629,27,1012,248,446,6,1575,1421,2798,1781,348,351,216,1425,268,6196,277,158,10,7,2,51,60,1502,,16584,15,159,80,,33,81449,NA,,,,,,,,,,,,,,,,,,,,
106190534,190534,OLYMPIA MEDICAL CENTER,Los Angeles,5900 W Olympic Blvd,Los Angeles,90036,Investor - Limited Liability Company,200-299,District 26,District 50,Hancock Park/Mid-City West/Park La Brea,Urban,4442,,,,,,2226,2216,,17,226,306,432,668,949,823,1021,,,,3,310,1602,129,,1144,128,1126,,889,3371,182,,9,398,4035,,,462,,3980,,,4219,223,,,14,64,,,53,,3131,1180,,,,,37,296,142,331,36,,25,80,376,1904,1101,7,101,2,,,4,,1360,2573,,13,185,247,35,29,,64,705,496,320,330,788,361,123,310,106,171,1,11,5,464,130,56,1,,328,506,415,24,113,19,253,81,2584,66,37,,,,7,8,1,,4194,8,160,80,,,24394,NA,,,,,,,,,,,,,,,,,,,,
