oshpd_id9,OSHPD_ID,COUNTY,FACILITY_NAME,ADDRESS,CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,teach_rural,licensed_bed_size,senate_district_desc,assembly_district_desc,mssa_name,mssa_designation,TOC_Acute,TOC_SN_IC,TOC_Psych,TOC_Chem_Dep,TOC_Rehab,TOC_Unknown,Sex_Male,Sex_Female,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_nhpi,racegrp_black,racegrp_white,racegrp_unknown,racegrp_other,racegrp_multirace,Admt_Non_HCF,Admt_Clinic_Dr,Admt_Hosp_Dif,Admt_SNF_ICF_ALF,Admt_Another_HCF,Admt_DistinctPartXfer,Admt_Amb_Surgery,Admt_HospiceFacility,Admt_Court_LE,Admt_NA,Admt_Newborn,admt_disaster_care_site,Route_Your_ER,Route_Another_ER,Route_No_ER,Route_NA,dsch_days,Adm_Emergency,Adm_Urgent,Adm_Elective,Adm_Newborn,Adm_Trauma,Adm_NA,disp_Routine,disp_Acute_Care,disp_Rehab,disp_SN_IC_Care,disp_Residential_Care,disp_Prison_Jail,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Disaster_Care_Site,disp_Childrens_or_Cancer,disp_Hospice_Care,disp_Psychiatric_Care,disp_CAH,disp_Not_Defined_Elsewhere,disp_Other,disp_Invalid_Blank,DNR_Yes,DNR_No,DNR_Unknown,Payer_Medicare,Payer_Medi_Cal,Payer_Priv_Coverage,Payer_Workers_Comp,Payer_County_Indigent_Prog,Payer_Other_Government,Payer_Other_Indigent,Payer_Self_Pay,Payer_Other_Payer,Payer_Unknown,dx_Infectious,dx_Neoplasms,dx_Diseases_of_the_Blood,dx_Endocrine,dx_MentalHealth,dx_Nervous_System,dx_Eye,dx_Ear,dx_Circulatory,dx_Respiratory,dx_Digestive,dx_Skin,dx_Musculoskeletal,dx_Genitourinary,dx_Pregnancy_Childbirth,dx_Certain_Perinatal_Conditions,dx_Congenital,dx_Symptoms_Signs_NEC,dx_Injury_Poisoning,dx_Factors_Influencing_Health,dx_Other_Unknown,PR_Diagnostic_Therapeutic,PR_Obstetrical,PR_Cardiovascular_System,PR_Digestive_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Reproductive_System,PR_Hemic_Lymph_System,PR_Integumentary_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_Nose_Mouth_Pharynx,PR_Respiratory_System,PR_Urinary_System,PR_None,PR_No_Group_Assigned,Zip_Unk_Inv_Bl,Zip_Homeless,Zip_Foreign,Zip_Out_of_State,Zip_CA_Resident,,,,,,,
106010735,010735,ALAMEDA,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,City or County,NA,100-149,District 7,District 18,Alameda/Jack London Square/Oakland Inner Harbor,Urban,2869,73,,,1,,1482,1460,1,,15,116,222,303,448,591,599,649,,560,2352,31,,494,23,772,999,25,573,57,2010,9,418,436,5,61,1,,,3,,,2387,324,232,,38497,2385,346,210,,,2,1343,140,43,657,,2,131,90,472,,,52,8,,5,,,68,2875,,1574,1044,220,,35,32,,38,,,519,56,41,117,93,229,8,30,446,259,374,109,129,171,,,1,136,215,8,2,291,,294,183,,,,21,,49,92,23,2,59,15,1873,41,17,214,,25,2687,,,,,,,
106010739,010739,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY AVENUE,BERKELEY,94705,Non-profit Corporation (incl. Church-related),NA,300-499,District 7,District 14,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,14732,,,,,,5022,9710,,4173,183,1753,3024,1001,722,1077,1405,1394,,4226,9915,591,46,1892,292,2765,4904,532,4038,263,9750,78,595,143,74,10,5,1,3,1,4072,,4881,297,9554,,63321,2858,5524,2277,4072,,1,11397,284,120,973,31,1,272,171,1206,,15,132,114,1,15,,,738,13994,,3024,5948,5107,10,,423,,209,11,,1227,245,120,322,157,259,17,12,787,305,812,166,535,303,4569,4170,4,133,581,8,,1317,3972,383,748,3,23,7,213,24,181,623,277,35,158,79,6558,131,20,392,12,87,14221,,,,,,,
106010776,010776,ALAMEDA,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,747 52ND STREET,OAKLAND,94609,Non-profit Corporation (incl. Church-related),NA,150-199,District 7,District 18,Oakland West Central,Urban,7400,,,,88,,4030,3455,3,4834,2526,125,,,,,,,3,3572,3836,80,31,613,70,1009,1429,102,3743,491,4262,935,2207,1,38,44,,,,1,,,5076,134,2278,,41097,3522,2038,1655,,266,7,7208,99,62,1,4,1,10,38,5,,2,8,50,,,,,22,7466,,8,3475,1832,,,2070,,103,,,600,207,276,356,80,551,26,47,75,1415,836,185,300,170,,379,416,282,932,352,3,1257,,262,741,50,4,11,48,57,188,611,344,337,77,26,3316,159,8,26,,95,7359,,,,,,,
106010844,010844,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,Non-profit Corporation (incl. Church-related),NA,50-99,District 7,District 14,Berkeley South and West/Emeryville/Oakland Northwest,Urban,,,1853,,,,764,1089,,,511,363,319,204,173,163,99,21,,280,1491,82,,149,22,435,877,74,245,51,694,9,1065,11,19,52,,1,2,,,,5,879,969,,17388,19,1821,13,,,,1587,71,9,31,89,12,28,,2,,,2,14,1,7,,,9,1844,,352,823,627,1,,24,,25,1,,1,,,,1840,3,,,,,,,,,,,,,4,,5,351,,1,,,,,,,2,,,1,,,1496,2,3,320,,16,1514,,,,,,,
106010846,010846,ALAMEDA,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,94602,City or County,NA,150-199,District 7,District 18,Oakland West Central,Urban,15394,164,2551,,546,,10093,8553,9,1541,337,2452,3072,2341,2715,3161,1855,1157,24,5829,12590,236,48,2010,191,6205,3610,109,6106,376,13619,718,848,379,324,1076,3,,75,127,1486,,11130,18,7500,7,132510,9589,3474,2554,1486,1514,38,11817,921,309,1878,,333,716,366,1539,,17,131,226,,402,,,839,17816,,5165,11711,920,43,200,148,,468,,,1354,525,141,810,3066,452,49,20,1790,918,1384,404,515,614,1737,1542,12,343,2693,280,6,2753,1554,1224,1090,14,23,33,159,52,613,1135,413,72,334,211,8857,118,153,2491,5,84,15922,,,,,,,
106010887,010887,ALAMEDA,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,SAN LEANDRO,94577,Investor - Limited Liability Company,NA,50-99,District 9,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,316,,,,,,185,131,,,,20,23,38,66,83,56,30,,49,267,,,43,,44,143,4,82,,,,315,,1,,,,,,,,,,316,,20928,,,316,,,,20,100,2,114,1,,19,41,19,,,,,,,,,1,315,,68,157,73,1,,17,,,,,3,1,,3,,12,,,21,183,11,9,20,15,,,,,26,12,,151,,29,10,,,,,,5,5,,,13,1,102,,,15,,2,299,,,,,,,
106010937,010937,ALAMEDA,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,94609,Non-profit Corporation (incl. Church-related),NA,300-499,District 7,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,10917,,,,707,,5868,5756,,,16,309,777,1006,1483,2546,2887,2600,,1341,10070,213,24,1788,268,4245,3677,144,1396,82,9838,93,1179,332,76,94,9,1,,1,,1,8382,243,2999,,68925,4899,4318,2406,,,1,5247,343,242,1992,57,3,307,361,2805,,,247,8,1,11,,,1218,10406,,6305,2814,2218,11,,182,,84,10,,1999,617,243,872,126,409,20,15,2959,623,1112,91,531,659,,,19,202,912,205,10,1685,,1938,1418,4,29,,127,75,260,638,101,26,329,141,4633,220,14,547,10,71,10982,,,,,,,
106010967,010967,ALAMEDA,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,Non-profit Corporation (incl. Church-related),NA,150-199,District 10,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,3778,,,,,,1850,1928,,312,33,326,374,290,450,742,658,593,,1270,2478,30,,757,139,530,964,40,1299,49,2834,43,160,426,,,,1,1,1,312,,2818,64,894,2,15128,2827,287,352,312,,,2089,181,8,625,50,,116,168,448,,10,59,23,,,,1,259,3519,,1418,2010,249,7,,13,11,70,,,453,36,34,205,83,74,3,7,748,300,401,62,220,204,338,312,1,65,220,10,2,456,300,520,309,,,,28,5,45,286,23,13,41,31,1684,37,,124,,16,3638,,,,,,,
106010987,010987,ALAMEDA,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,FREMONT,94538,District,NA,300-499,District 10,District 24,Fremont East/Niles/Union City Central,Urban,11291,348,,,,,5015,6624,,1697,45,457,1563,621,890,1719,1953,2694,,1525,9926,188,51,5282,107,561,3186,176,2028,248,7655,2026,,343,83,,1,33,,,1498,,7887,21,3731,,56517,7825,1264,1051,1498,1,,6635,174,56,1612,2,,,382,2600,,3,149,17,4,4,,1,1321,10318,,4888,2274,4140,47,,107,,121,4,58,1298,316,42,486,83,197,9,15,1756,843,1125,222,370,685,1562,1595,5,80,895,53,2,2723,1473,1216,918,6,17,,78,24,212,741,140,24,223,152,3447,245,43,166,3,58,11369,,,,,,,
106013687,013687,ALAMEDA,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,3012 SUMMIT STREET,OAKLAND,94609,Non-profit Corporation (incl. Church-related),NA,1-49,District 7,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,,,,302,,,194,108,,,,49,90,77,55,25,,,6,48,228,26,,14,,26,202,27,33,,286,1,12,,3,,,,,,,,,6,296,,3116,,13,289,,,,270,10,,,1,,20,,,,,,1,,,,,1,301,,4,4,280,,,9,,5,,,,,,,301,,,,,,,,,,,,,,,,1,273,,,,,,,,,,,,,,,29,,,11,,4,287,,,,,,,
