oshpd_id9,OSHPD_ID,COUNTY,FACILITY_NAME,ADDRESS,CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,teach_rural,licensed_bed_size,senate_district_desc,assembly_district_desc,mssa_name,mssa_designation,TOC_Acute,TOC_SN_IC,TOC_Psych,TOC_Chem_Dep,TOC_Rehab,TOC_Unknown,Sex_Male,Sex_Female,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_nhpi,racegrp_black,racegrp_white,racegrp_unknown,racegrp_other,racegrp_multirace,Admt_Non_HCF,Admt_Clinic_Dr,Admt_Hosp_Dif,Admt_SNF_ICF_ALF,Admt_Another_HCF,Admt_DistinctPartXfer,Admt_Amb_Surgery,Admt_HospiceFacility,Admt_Court_LE,Admt_NA,Admt_Newborn,admt_disaster_care_site,Route_Your_ER,Route_Another_ER,Route_No_ER,Route_NA,dsch_days,Adm_Emergency,Adm_Urgent,Adm_Elective,Adm_Newborn,Adm_Trauma,Adm_NA,disp_Routine,disp_Acute_Care,disp_Rehab,disp_SN_IC_Care,disp_Residential_Care,disp_Prison_Jail,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Disaster_Care_Site,disp_Childrens_or_Cancer,disp_Hospice_Care,disp_Psychiatric_Care,disp_CAH,disp_Not_Defined_Elsewhere,disp_Other,disp_Invalid_Blank,DNR_Yes,DNR_No,DNR_Unknown,Payer_Self_Pay_or_Uninsured,Payer_Other_Government,Payer_Private_Health_Insurance,Payer_Medicare,Payer_All_Other_Payers,Payer_MediCal,Payer_Other_Unknown,dx_Infectious,dx_Neoplasms,dx_Diseases_of_the_Blood,dx_Endocrine,dx_MentalHealth,dx_Nervous_System,dx_Eye,dx_Ear,dx_Circulatory,dx_Respiratory,dx_Digestive,dx_Skin,dx_Musculoskeletal,dx_Genitourinary,dx_Pregnancy_Childbirth,dx_Certain_Perinatal_Conditions,dx_Congenital,dx_Symptoms_Signs_NEC,dx_Injury_Poisoning,dx_Factors_Influencing_Health,dx_Other_Unknown,PR_Diagnostic_Therapeutic,PR_Obstetrical,PR_Cardiovascular_System,PR_Digestive_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Reproductive_System,PR_Hemic_Lymph_System,PR_Integumentary_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_Nose_Mouth_Pharynx,PR_Respiratory_System,PR_Urinary_System,PR_None,PR_No_Group_Assigned,Zip_Unk_Inv_Bl,Zip_Homeless,Zip_Foreign,Zip_Out_of_State,Zip_CA_Resident,,,
106014034,014034,ALAMEDA,FREMONT HOSPITAL,39001 SUNDALE DRIVE,FREMONT,94538,Investor - Corporation,NA,100-149,District 10,District 24,Centerville/Fremont West/Irvington/Newark East Central,Urban,,,4955,,,,1947,3006,2,,2078,1030,803,507,308,186,39,,4,643,4312,,,371,,149,757,8,3670,,57,4,4746,,148,,,,,,,,,4738,217,,45536,,4955,,,,,4615,9,13,1,11,3,294,,,,,,8,,,1,,,4955,,,1298,2024,520,,1111,2,,,,,4952,,,,,,,,,,,,,,,,3,46,,,,,,,,,,,,,,,4909,,11,728,,22,4194,,,
106014050,014050,ALAMEDA,STANFORD HEALTH CARE TRI-VALLEY,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,Non-profit Corporation (incl. Church-related),NA,150-199,District 5,District 16,Dublin/Pleasanton/Santa Rita/Sunol,Urban,8681,,,,,,3752,4928,1,1350,55,372,1250,551,718,1170,1476,1739,,1117,7278,286,14,1614,43,354,3822,303,2330,201,6418,208,475,259,20,,3,,36,,1262,,4553,195,3933,,38086,4924,409,2085,1262,1,,5128,290,57,1190,7,29,,186,1540,,5,223,16,,,10,,719,7962,,60,130,3271,3659,138,1423,,921,295,54,320,84,204,5,5,1371,416,842,80,447,336,1308,1313,13,48,562,57,,875,1215,1038,847,1,2,,89,26,156,581,96,14,224,58,3269,190,6,134,5,61,8475,,,
106014132,014132,ALAMEDA,KAISER FOUNDATION HOSPITAL - FREMONT,39400 PASEO PADRE PARKWAY,FREMONT,94538,Non-profit Corporation (incl. Church-related),NA,100-149,District 10,District 24,Fremont East/Niles/Union City Central,Urban,4476,,242,,,,2456,2262,,,26,111,266,315,549,896,1153,1400,2,694,4008,16,,1590,43,327,2032,35,675,16,3841,99,390,217,164,,2,,,5,,,4185,225,308,,23335,624,4001,93,,,,1912,218,22,583,2,,54,203,1548,,,148,22,,3,3,,886,3832,,47,,1425,2974,,266,6,1234,123,72,239,299,137,8,8,814,314,613,68,78,253,20,,,129,298,11,,902,2,295,603,6,6,3,18,26,100,192,27,17,105,221,2031,164,,85,1,4,4628,,,
106014207,014207,ALAMEDA,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,2633 EAST 27TH STREET,OAKLAND,94601,Investor - Corporation,NA,1-49,District 7,District 18,Oakland West Central,Urban,,,1055,,,,526,529,,,83,367,190,162,110,96,39,,8,190,857,8,,68,,135,493,11,348,,456,,598,,,,,,1,,,,,,1055,,6011,,1055,,,,,960,28,,,22,2,41,,,,,,2,,,,,,1055,,,,795,209,27,24,,,,,,1051,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1055,,,39,,1,1015,,,
106014226,014226,ALAMEDA,TELECARE WILLOW ROCK CENTER,2050 FAIRMONT DRIVE,SAN LEANDRO,94578,Investor - Corporation,NA,1-49,District 9,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,,,606,,,,169,437,,,606,,,,,,,,,225,381,,,27,,96,176,4,303,,591,,14,1,,,,,,,,,,,606,,2644,,606,,,,,600,1,,,2,,2,,,,,,1,,,,,,606,,,321,273,,,,12,,,,,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,,,1,,1,604,,,
106014233,014233,ALAMEDA,EDEN MEDICAL CENTER,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,Non-profit Corporation (incl. Church-related),NA,100-149,District 9,District 20,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,9769,,,,,,4472,5297,,1120,78,580,1307,745,933,1555,1650,1801,,2384,7196,189,27,1694,522,1434,3872,137,1939,144,8151,24,173,275,29,1,1,1,3,,1111,,6895,57,2817,,44748,1364,5340,882,1111,1071,1,5049,480,186,1825,59,10,141,304,1474,,,205,34,,2,,,728,9041,,186,180,3175,3812,61,2355,,1470,243,86,425,130,290,10,5,1260,391,802,92,245,392,1165,1120,6,129,1494,13,1,1242,1081,586,726,6,3,3,82,31,314,739,244,24,242,149,4117,180,17,266,18,53,9415,,,
106014326,014326,ALAMEDA,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 W. MACARTHUR BLVD.,OAKLAND,94611,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 7,District 18,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,23568,,,,,,10689,12862,17,3600,932,1054,2698,1549,1968,3534,4252,3979,2,4219,18664,685,87,3698,175,5685,8584,683,4356,300,19121,116,1535,380,90,5,1,,1,78,2239,2,12928,1039,9601,,103289,2007,15464,3852,2239,,6,16368,490,105,2297,4,11,243,630,2924,,8,316,46,3,46,77,,2371,21197,,355,113,10114,10141,18,2827,,2728,1658,353,958,291,842,37,28,3006,1421,2244,258,1233,804,2482,2388,191,538,1514,591,3,3822,2148,1377,2191,30,26,12,676,159,424,1666,752,226,848,616,8053,542,3,347,,76,23142,,,
106014337,014337,ALAMEDA,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,94577,Non-profit Corporation (incl. Church-related),Teaching,200-299,District 9,District 20,San Leandro West/San Lorenzo West/Hayward West,Urban,14069,,,,,,5342,8720,7,3433,61,1174,2751,789,900,1525,1658,1776,2,3859,10087,123,67,4515,221,1813,3558,110,3314,471,9298,345,397,406,257,1,,,,5,3360,,6029,159,7881,,47772,894,8369,1445,3360,,1,9546,265,35,1044,,,65,316,2553,,,218,16,,3,8,,1072,12997,,116,,8254,4317,,1362,20,1877,310,76,392,165,208,13,9,1203,477,881,93,228,328,3582,3423,7,138,599,60,,1855,3268,525,1050,1,2,1,742,24,220,637,84,60,167,316,4898,219,3,67,,19,13980,,,
106034002,034002,AMADOR,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,95642,Non-profit Corporation (incl. Church-related),Small/Rural,50-99,District 4,District 1,Ione/Jackson/Pine Grove/Sutter Creek,Rural,2559,,,,,,1187,1372,,220,,156,178,118,203,465,574,636,9,212,2270,77,31,13,,31,2271,55,108,50,2259,,28,25,8,1,,,29,,209,,2034,6,519,,9351,848,1321,181,209,,,1308,196,17,365,12,74,41,41,431,,,66,4,2,2,,,276,2283,,14,199,401,1386,,552,7,648,26,16,101,48,80,,7,339,169,239,39,36,92,223,220,,48,221,7,,358,204,34,183,,,,5,3,34,131,8,1,16,2,1492,88,,36,2,22,2499,,,
106040802,040802,BUTTE,ORCHARD HOSPITAL,240 SPRUCE STREET,GRIDLEY,95948,Non-profit Corporation (incl. Church-related),Small/Rural,1-49,District 1,District 3,Biggs/East Biggs/Gridley,Rural,285,217,,,,,256,246,,,,,22,37,45,98,135,156,9,72,417,13,,,,,413,30,59,,259,4,115,20,,104,,,,,,,271,2,229,,6424,2,277,223,,,,205,24,2,128,5,1,31,30,55,,,8,1,1,10,1,,401,101,,,,32,353,,114,3,79,5,3,26,5,13,,2,56,56,21,41,40,47,,,,46,26,36,,248,,,,,,,,,5,,,,25,,224,,,31,,4,467,,,
