oshpd_id9,OSHPD_ID,COUNTY,FACILITY_NAME,ADDRESS,CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,teach_rural,licensed_bed_size,senate_district_desc,assembly_district_desc,mssa_name,mssa_designation,TOC_Acute,TOC_SN_IC,TOC_Psych,TOC_Chem_Dep,TOC_Rehab,TOC_Unknown,Sex_Male,Sex_Female,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_nhpi,racegrp_black,racegrp_white,racegrp_unknown,racegrp_other,racegrp_multirace,Admt_Non_HCF,Admt_Clinic_Dr,Admt_Hosp_Dif,Admt_SNF_ICF_ALF,Admt_Another_HCF,Admt_DistinctPartXfer,Admt_Amb_Surgery,Admt_HospiceFacility,Admt_Court_LE,Admt_NA,Admt_Newborn,admt_disaster_care_site,Route_Your_ER,Route_Another_ER,Route_No_ER,Route_NA,dsch_days,Adm_Emergency,Adm_Urgent,Adm_Elective,Adm_Newborn,Adm_Trauma,Adm_NA,disp_Routine,disp_Acute_Care,disp_Rehab,disp_SN_IC_Care,disp_Residential_Care,disp_Prison_Jail,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Disaster_Care_Site,disp_Childrens_or_Cancer,disp_Hospice_Care,disp_Psychiatric_Care,disp_CAH,disp_Not_Defined_Elsewhere,disp_Other,disp_Invalid_Blank,DNR_Yes,DNR_No,DNR_Unknown,Payer_Self_Pay_or_Uninsured,Payer_Other_Government,Payer_Private_Health_Insurance,Payer_Medicare,Payer_All_Other_Payers,Payer_MediCal,Payer_Other_Unknown,dx_Infectious,dx_Neoplasms,dx_Diseases_of_the_Blood,dx_Endocrine,dx_MentalHealth,dx_Nervous_System,dx_Eye,dx_Ear,dx_Circulatory,dx_Respiratory,dx_Digestive,dx_Skin,dx_Musculoskeletal,dx_Genitourinary,dx_Pregnancy_Childbirth,dx_Certain_Perinatal_Conditions,dx_Congenital,dx_Symptoms_Signs_NEC,dx_Injury_Poisoning,dx_Factors_Influencing_Health,dx_Other_Unknown,PR_Diagnostic_Therapeutic,PR_Obstetrical,PR_Cardiovascular_System,PR_Digestive_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Reproductive_System,PR_Hemic_Lymph_System,PR_Integumentary_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_Nose_Mouth_Pharynx,PR_Respiratory_System,PR_Urinary_System,PR_None,PR_No_Group_Assigned,Zip_Unk_Inv_Bl,Zip_Homeless,Zip_Foreign,Zip_Out_of_State,Zip_CA_Resident,,,
106190432,190432,LOS ANGELES,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,91402,Non-profit Corporation (incl. Church-related),Teaching,200-299,District 20,District 43,Northridge South/Reseda North,Urban,14102,,,,,,5801,8301,,2330,77,1054,2123,942,1064,1757,2436,2319,,6415,7530,157,38,1680,53,895,4887,229,6275,45,8770,715,1972,235,111,28,,,2,,2265,4,6984,319,6799,,48214,6424,3903,1509,2265,1,,9101,256,11,1076,,1,75,311,2956,,1,251,16,,3,44,,1431,12671,,87,,6795,5696,11,1505,8,2149,580,102,464,88,242,3,7,1400,688,1609,119,188,479,2443,2326,8,237,885,85,,1346,2244,770,1596,1,5,1,495,48,200,723,97,16,337,286,5727,210,1,77,,26,13998,,,
106190434,190434,LOS ANGELES,KAISER FOUNDATION HOSPITAL - WEST LA,6041 CADILLAC AVENUE,LOS ANGELES,90034,Non-profit Corporation (incl. Church-related),Teaching,200-299,District 28,District 55,Hancock Park/Mid-City West/Park La Brea,Urban,12130,,,,,,4639,7490,1,1809,69,931,1720,855,1015,1609,1893,2229,,3811,7924,395,28,651,22,4880,2236,562,3597,154,7947,516,1609,168,39,33,4,,1,25,1788,,5847,946,5337,,45778,4120,3170,3045,1788,,7,7376,315,41,1099,,,83,328,2612,,,221,19,1,5,30,,1089,11040,1,244,,4981,5040,,1851,14,1733,518,141,696,154,291,5,6,1464,656,1117,112,218,474,1917,1805,9,184,528,101,1,1323,1758,662,1520,7,4,,444,35,238,466,32,25,285,258,4852,221,2,146,,30,11952,,,
106190449,190449,LOS ANGELES,KINDRED HOSPITAL - LA MIRADA,14900 IMPERIAL HIGHWAY,LA MIRADA,90638,Investor - Limited Liability Company,Teaching,100-149,District 30,District 64,La Mirada/Santa Fe Springs South,Urban,1591,,,,,,925,666,,,,25,41,90,133,377,483,442,,221,1364,6,,183,,88,1116,5,199,,3,4,1557,,27,,,,,,,,,,1591,,50559,,,1591,,,,49,142,33,762,1,,34,353,168,,,49,,,,,,8,1583,,,37,353,1019,,175,7,133,7,,50,2,26,,,75,804,96,63,31,150,,,,14,94,46,,445,,241,116,,,,,,38,14,1,,49,1,647,39,4,12,,9,1566,,,
106190462,190462,LOS ANGELES,AURORA LAS ENCINAS HOSPITAL,2900 EAST DEL MAR BOULEVARD,PASADENA,91107,Investor - Limited Liability Company,Teaching,100-149,District 25,District 41,Pasadena South/San Marino/South Pasadena,Urban,,,1792,167,,,1043,916,,,110,627,489,328,265,129,,,11,497,1462,,,182,,243,968,10,539,17,726,7,1072,,14,8,,,130,2,,,4,1050,905,,32509,551,1228,180,,,,1454,15,256,32,30,1,72,,,,,,98,,1,,,,1959,,80,473,973,337,62,34,,,,,,1958,,,,,,,,,,,,,,,,1,221,,,,,,,,,,,,,,,1738,,4,195,23,83,1654,,,
106190470,190470,LOS ANGELES,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,4101 TORRANCE BOULEVARD,TORRANCE,90503,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 24,District 66,Redondo Beach Central and South/Torrance West Central,Urban,18466,1225,,,,,8040,11650,1,2928,169,1269,2663,1422,1812,2750,2898,3780,,6373,12996,322,35,2218,180,2842,7121,191,6586,518,14396,170,652,429,20,1347,3,2,5,1,2666,,11368,46,8277,,97563,11702,1210,4076,2666,,37,12174,768,115,1925,92,11,280,420,3534,,18,335,12,,7,,,876,18815,,213,169,5948,8172,105,5084,,1765,742,180,636,203,571,28,35,3021,928,1652,263,670,948,2940,2738,22,481,1562,304,2,1936,2650,1761,1606,10,27,2,692,83,375,957,407,54,271,196,8399,265,2,320,28,158,19183,,,
106190500,190500,LOS ANGELES,CEDARS-SINAI MARINA HOSPITAL,4650 LINCOLN BOULEVARD,MARINA DEL REY,90292,Non-profit Corporation (incl. Church-related),Teaching,100-149,District 28,District 55,Baldwin Hills/Culver City South/Fox Hills/Ladera Heights/Marina del Rey/View Park/Windsor Hills,Urban,4334,,108,,,,2111,2331,,,28,186,370,395,517,814,964,1168,,778,3534,130,12,204,,1237,2427,88,407,67,3940,77,42,367,13,,1,,,2,,,3827,1,614,,18719,3826,29,587,,,,2195,274,115,693,47,,152,97,804,,1,41,17,,,6,,282,4160,,64,,1026,2533,101,708,10,853,108,60,385,111,121,8,4,490,333,574,101,475,315,13,,4,78,402,6,1,186,2,253,605,1,1,,18,10,104,592,124,11,154,74,2263,44,1,232,20,144,4045,,,
106190517,190517,LOS ANGELES,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,91356,Investor - Limited Liability Company,Teaching,200-299,District 27,District 46,Encino/Tarzana/Warner Center/Woodland Hills,Urban,15986,,,,,,6560,9426,,3356,373,985,2264,1038,1052,1787,2314,2816,1,3605,11635,746,12,549,36,515,9419,205,4841,409,12269,48,475,555,19,15,1,1,,,2603,,9406,323,6257,,59693,8992,1136,3227,2603,,28,10421,267,128,1437,97,1,330,260,2812,,18,165,20,,30,,,373,15613,,141,68,5751,6014,16,3996,,1406,497,110,469,100,324,15,23,1959,1001,1723,213,500,874,2732,2677,13,334,944,68,4,1318,2629,1355,1548,9,2,1,593,51,266,773,127,44,290,182,6475,323,1,138,4,122,15721,,,
106190521,190521,LOS ANGELES,MEMORIAL HOSPITAL OF GARDENA,1145 W. REDONDO BEACH BLVD.,GARDENA,90247,Investor - Partnership,Teaching,150-199,District 24,District 66,Gardena Southeast/Harbor Gateway Central/Lawndale South/Moneta/Redondo Beach North/Torrance North,Urban,5529,84,,,,,2862,2751,,,21,237,555,633,997,1434,971,765,,2049,3486,78,,226,20,2509,1968,72,818,,4946,32,136,442,,44,4,3,,6,,,4725,25,863,,38340,5185,,428,,,,3067,284,4,1151,37,2,499,249,264,,,48,7,,,1,,24,5589,,77,18,288,2215,24,2991,,996,123,89,407,100,401,2,5,949,528,735,143,114,425,21,,,172,310,93,,888,2,700,392,1,,,81,3,137,149,3,3,83,53,3114,4,56,255,,23,5279,,,
106190522,190522,LOS ANGELES,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,GLENDALE,91204,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 25,District 52,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,Urban,9517,,1451,,399,,5423,5944,,931,72,996,1539,1118,1418,1753,1680,1860,,4004,7164,199,15,723,22,681,7395,423,2090,18,8519,21,1197,106,1,609,,1,,,913,,7056,165,4108,38,49585,6622,1835,1997,913,,,7232,274,343,975,50,4,282,222,1670,,,131,144,1,39,,,146,11221,,179,32,1357,4342,84,5370,3,1389,338,63,413,1564,245,10,20,1782,481,949,137,344,549,1054,930,7,333,639,120,,1411,890,1252,952,,1,1,202,28,143,500,44,1,171,148,5501,122,118,829,9,64,10347,,,
106190524,190524,LOS ANGELES,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,14850 ROSCOE BOULEVARD,PANORAMA CITY,91402,Investor - Limited Liability Company,Teaching,100-149,District 20,District 43,Northridge South/Reseda North,Urban,3608,,2001,,,,3277,2332,,,59,565,847,753,873,1000,818,694,,2341,3268,,,302,13,874,4278,11,105,26,4004,71,282,1064,1,31,,,153,3,,,4857,29,723,,37512,4155,742,712,,,,3293,96,14,1323,,1,185,131,505,,,28,20,2,10,1,,104,5505,,144,12,1476,1707,138,2132,,769,44,15,154,2086,268,,6,262,276,350,52,745,192,,,,109,278,2,1,407,,307,250,,1,,1,3,54,681,147,,50,37,3639,32,37,605,,39,4928,,,
106190525,190525,LOS ANGELES,MEMORIALCARE LONG BEACH MEDICAL CENTER,2801 ATLANTIC AVENUE,LONG BEACH,90806,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 33,District 69,Bixby Knolls/Long Beach Central,Urban,16885,,,,504,,8362,9027,,,109,913,1474,1846,2427,3825,3721,3072,2,6244,10891,254,65,1798,254,2887,7533,217,4191,444,14818,1372,756,46,25,368,1,,1,2,,,13929,4,3456,,101571,7426,6636,2556,,769,2,9570,662,355,2473,6,8,,542,3490,,11,251,15,,6,,,743,16646,,68,147,2980,8928,102,5164,,1975,1142,216,892,144,666,34,34,3632,928,1941,331,1114,997,136,,30,501,2428,246,2,2501,16,2399,2150,13,67,5,377,86,726,1826,510,53,489,330,5619,222,1,581,4,101,16702,,,
106190529,190529,LOS ANGELES,USC ARCADIA HOSPITAL,300 WEST HUNTINGTON DRIVE,ARCADIA,91007,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 25,District 49,Arcadia Central and Northeast/Bradbury/Monrovia/Sierra Madre,Urban,14409,,,,600,,6595,8414,,1356,31,516,1566,904,1294,2268,3052,4022,,443,14504,62,17,4730,,500,5004,62,4620,76,12399,15,94,862,43,249,1,,,3,1343,,10430,,4579,,73471,10430,1794,1441,1343,,1,7863,487,569,2028,69,1,232,589,2789,,37,321,24,,,,,954,14054,1,630,23,6464,7305,55,532,,1609,594,124,816,48,678,18,28,2347,868,1697,166,709,791,1421,1356,9,448,1206,74,2,2623,1333,1421,1708,4,5,1,263,46,293,1041,172,22,300,143,5030,604,28,161,4,79,14737,,,
106190541,190541,LOS ANGELES,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,91016,Investor - Limited Liability Company,Teaching,1-49,District 25,District 41,Arcadia Central and Northeast/Bradbury/Monrovia/Sierra Madre,Urban,393,,,,,,196,197,,,,,,23,59,86,76,134,15,123,269,1,,112,,46,114,6,115,,137,,256,,,,,,,,,,,,393,,8189,,,393,,,,133,9,1,171,1,,3,47,28,,,,,,,,,48,345,,32,,,248,111,,2,83,,1,5,,6,,,3,127,12,6,131,3,,,,1,13,2,,54,,36,12,,,,,,7,85,57,,102,,36,4,1,2,,2,388,,,
106190547,190547,LOS ANGELES,MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,91754,Investor - Partnership,Teaching,100-149,District 25,District 49,Montebello North/Monterey Park/South San Gabriel,Urban,3097,,,,,,1510,1587,,,29,176,301,372,556,599,494,570,,2237,836,24,,407,,130,1954,37,473,96,2009,12,1076,,,,,,,,,,1876,975,246,,15280,,2989,108,,,,2059,92,2,328,3,1,137,81,356,,,28,1,9,,,,82,3015,,,,140,1218,,1717,22,336,56,93,310,42,114,5,14,414,282,598,120,84,408,11,,1,78,126,4,1,289,1,323,515,1,3,,55,6,102,105,9,2,110,89,1471,16,3,112,,8,2974,,,
106190552,190552,LOS ANGELES,MOTION PICTURE AND TELEVISION HOSPITAL,23388 MULHOLLAND DRIVE,WOODLAND HILLS,91364,Non-profit Corporation (incl. Church-related),Teaching,100-149,District 27,District 46,Encino/Tarzana/Warner Center/Woodland Hills,Urban,,31,193,,,,71,153,,,,,,,,49,85,81,9,36,188,,,,,29,173,22,,,16,,185,13,4,6,,,,,,,,99,125,,23923,9,214,1,,,,112,25,1,17,41,,1,22,,,,3,1,,1,,,39,185,,,,20,170,,31,3,,3,,,182,34,,,3,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,224,,,1,,,223,,,
106190555,190555,LOS ANGELES,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BOULEVARD,LOS ANGELES,90048,Non-profit Corporation (incl. Church-related),Teaching,500+,District 24,District 55,Hancock Park/Mid-City West/Park La Brea,Urban,50899,,,,,2,22901,27980,20,6836,713,2399,7411,4151,4603,7526,8977,8283,2,8871,40429,1601,144,4565,131,6663,32293,1440,4503,1162,38184,1826,2611,2087,100,,10,1,6,46,6030,,25799,171,24927,4,305858,25212,6223,12756,6030,680,,30738,578,1888,4166,227,,537,1329,10800,,5,403,46,,,184,,1728,49173,,460,330,21505,22842,181,5582,1,4329,3436,457,1366,286,1595,53,67,7301,1889,4845,687,2731,2179,6432,6122,334,512,5543,733,4,2161,5929,6689,5869,44,126,10,1756,507,1274,4267,1845,212,1702,1148,16723,639,13,990,84,1397,48417,,,
106190568,190568,LOS ANGELES,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BOULEVARD,NORTHRIDGE,91325,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 20,District 46,Northridge South/Reseda North,Urban,14606,,1428,,508,,8192,8350,,1366,860,1104,1538,1284,1642,2543,2847,3357,1,5099,10815,628,35,1656,51,912,12129,601,1045,113,13263,861,603,542,91,316,,1,5,1,859,,12878,371,3281,12,85317,4802,7648,2096,859,1137,,8882,701,374,2285,201,3,363,272,2822,,11,447,86,,84,11,,951,15572,19,116,288,3484,7491,97,5066,,2269,318,86,697,1647,431,6,17,2934,868,1464,120,352,769,955,895,20,358,2259,77,,2584,831,2089,1386,5,7,2,254,41,419,1050,195,15,377,203,6930,154,145,635,3,138,15621,,,
106190570,190570,LOS ANGELES,NORWALK COMMUNITY HOSPITAL,13222 BLOOMFIELD AVENUE,NORWALK,90650,Investor - Corporation,Teaching,50-99,District 30,District 64,Norwalk/Studebaker,Urban,3205,,,,,,1753,1452,,,,76,157,241,371,788,828,738,6,1261,1777,167,23,323,14,471,1043,199,1103,29,1476,11,367,1223,120,,,,7,,,1,2665,299,241,,16351,3072,,132,,,1,806,244,3,1726,196,,77,77,32,,,15,14,2,13,,,54,3151,,17,68,93,2169,,856,2,701,43,22,284,49,226,1,3,234,131,384,126,155,434,,,1,92,290,25,4,193,1,426,331,,,1,16,4,31,69,1,,18,12,2095,7,2,70,1,9,3123,,,
106190587,190587,LOS ANGELES,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,90806,Investor - Limited Liability Company,Teaching,100-149,District 33,District 69,Bixby Knolls/Long Beach Central,Urban,2610,,5329,,,,5021,2918,,,94,1408,2073,1569,1063,888,500,344,,2754,5161,24,44,464,48,2453,4754,7,55,114,3864,82,2314,751,590,331,,,7,,,,5154,2254,531,,65321,5203,2612,124,,,,5558,284,153,735,138,14,480,59,79,,,24,414,,,1,,189,7750,,74,13,175,1434,,6242,1,243,37,39,199,5815,96,,1,328,194,316,118,118,133,29,,,123,144,6,,758,,155,215,1,,,8,2,61,65,4,,35,4,6604,27,3,3381,1,28,4526,,,
106190599,190599,LOS ANGELES,KINDRED HOSPITAL PARAMOUNT,16453 COLORADO AVENUE,PARAMOUNT,90723,Investor - Limited Liability Company,Teaching,150-199,District 33,District 62,Bellflower/Paramount South,Urban,881,,,,60,,494,447,,,,13,25,36,97,259,300,211,,236,563,142,,67,11,210,268,16,369,,1,,899,2,39,,,,,,,,,,941,,30222,,,941,,,,69,57,47,464,2,,16,178,92,,,15,1,,,,,39,902,,,16,216,573,,132,4,63,7,3,32,1,18,,,74,478,55,30,17,85,,,,10,45,22,1,252,,234,82,,,,,,12,15,,,11,4,317,14,,30,,5,906,,,
106190630,190630,LOS ANGELES,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 NORTH GAREY AVENUE,POMONA,91767,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 22,District 53,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,26336,,,,,,10792,15544,,5667,456,3158,3804,1697,2219,2930,2981,3423,1,14327,11779,230,37,2478,98,1536,16131,14,3684,2358,20169,,437,419,106,,,3,3,,5199,,14532,530,11274,,109545,12028,5728,2213,5199,1168,,21240,573,217,2009,330,18,468,755,259,,53,379,27,,8,,,1577,24758,1,554,469,5256,7987,97,11973,,2853,541,134,900,217,516,20,12,3217,963,1840,193,333,997,5540,5313,6,211,2471,58,1,2154,5171,1994,1972,4,6,15,208,40,661,1403,313,16,545,211,11033,590,19,552,,142,25623,,,
106190631,190631,LOS ANGELES,PIH HEALTH WHITTIER HOSPITAL,12401 WASHINGTON BLVD.,WHITTIER,90602,Non-profit Corporation (incl. Church-related),Teaching,500+,District 30,District 56,La Habra Heights/Whittier,Urban,22529,813,,,310,,10043,13609,,2066,118,1335,2291,1686,2480,3697,4766,5213,,15961,7327,364,275,1416,89,483,13971,387,6815,216,17357,858,1137,920,201,1214,,,1,,1964,,15663,583,7405,1,102322,15938,3215,2521,1964,,14,12278,657,270,2552,32,,327,508,6553,2,16,429,18,,9,1,,1598,22053,1,271,123,6020,12607,46,4583,2,3052,1035,242,1200,183,853,46,43,3976,1024,2523,330,740,1325,2143,2061,12,603,2042,216,3,2370,1919,2574,2714,7,20,4,519,81,435,1153,305,32,418,366,10309,426,19,501,2,86,23044,,,
106190636,190636,LOS ANGELES,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,1115 SOUTH SUNSET AVENUE,WEST COVINA,91790,Investor - Corporation,Teaching,300-499,District 22,District 48,Valinda/West Covina,Urban,17075,,,,204,,6945,10332,2,3749,319,2059,2431,1236,1571,2174,1835,1905,,12313,4899,67,22,1844,71,485,13955,97,771,34,12566,60,298,745,56,193,2,1,,8,3350,,9533,184,7562,,74401,4205,8727,997,3350,,,11952,846,167,1322,70,1,374,326,1955,,23,229,14,,,,,307,16972,,445,284,2975,4766,28,8781,,1651,433,200,649,103,403,9,26,1650,792,1725,203,385,821,3626,3436,4,260,829,74,,4465,3469,1198,1457,4,6,,202,44,289,584,163,28,152,113,5019,86,31,185,1,36,17026,,,
106190661,190661,LOS ANGELES,L.A. DOWNTOWN MEDICAL CENTER,1711 WEST TEMPLE STREET,LOS ANGELES,90026,Investor - Limited Liability Company,Teaching,150-199,District 26,District 54,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake,Urban,379,33,5107,,2,,3193,2328,,,48,570,777,693,796,1342,924,368,3,1303,4113,105,21,316,14,1134,1984,69,1960,23,122,138,1669,3033,,96,,,463,,,,,1653,3868,,54019,7,5391,123,,,,2338,66,9,3033,4,1,,1,1,,3,,64,1,,,,377,5144,,18,,,2772,142,2589,,12,3,22,62,5045,65,2,,6,50,9,35,103,35,,,,39,31,2,,5064,,2,4,,,,,,2,94,28,,1,2,324,,5,566,,5,4945,,,
106190673,190673,LOS ANGELES,SAN DIMAS COMMUNITY HOSPITAL,1350 WEST COVINA BOULEVARD,SAN DIMAS,91773,Investor - Limited Liability Company,Teaching,100-149,District 22,District 41,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,3006,,,,,,1377,1629,,,,92,171,254,348,605,720,807,9,1075,1917,14,,237,,174,2453,20,74,48,2536,,1,455,13,,,,1,,,,2822,,184,,13294,2842,2,162,,,,1368,156,9,653,16,,139,105,500,,,50,10,,,,,42,2964,,15,,582,1819,15,574,1,715,76,34,205,10,176,,11,384,243,416,58,212,200,14,,,41,209,2,,459,2,183,359,2,4,,20,2,56,180,3,1,32,20,1652,31,,91,,20,2895,,,
106190680,190680,LOS ANGELES,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,1300 WEST SEVENTH STREET,SAN PEDRO,90732,Non-profit Corporation (incl. Church-related),Teaching,200-299,District 35,District 66,Miraleste/Palo Verdes Estates/Portuguese Bend/Rancho Palos Verdes/Rolling Hills/San Pedro West,Urban,4135,217,542,311,385,,3086,2503,1,,62,423,700,707,902,1053,872,865,6,2052,3262,276,,247,27,664,2403,211,1894,144,4115,19,616,184,26,603,1,,24,2,,,3578,14,1998,,75853,3487,642,1446,,,15,3053,449,49,469,140,48,240,101,866,,1,63,87,1,23,,,223,5367,,104,80,922,2434,78,1972,,714,88,60,330,1422,194,3,1,646,502,560,94,69,372,17,,3,86,387,41,1,1361,1,263,494,,,,60,3,75,162,18,,67,129,2883,74,1,617,4,76,4892,,,
106190681,190681,LOS ANGELES,DOCS SURGICAL HOSPITAL,6000 SAN VICENTE BOULEVARD,LOS ANGELES,90036,Investor - Limited Liability Company,Teaching,1-49,District 28,District 55,Hancock Park/Mid-City West/Park La Brea,Urban,336,,,,,,194,142,,,,,25,44,78,106,65,13,5,60,276,,,17,,26,252,5,36,,336,,,,,,,,,,,,,,336,,397,,,336,,,,292,,3,4,,,,,34,,,,,,3,,,,336,,13,,96,128,96,,3,,1,,,,1,,,,,,,310,,,,,1,23,,,,,,,,,,,,1,289,46,,,,,,4,,,20,312,,,
106190687,190687,LOS ANGELES,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,90404,University of California,Teaching,200-299,District 24,District 51,Santa Monica Central/Sawtelle/West Los Angeles,Urban,15601,,,,,,6888,8706,7,2175,605,781,2017,1168,1499,2190,2642,2523,1,3544,11192,865,86,1532,47,1545,8178,1075,2547,591,11355,574,1663,436,129,,2,3,,6,1433,,8127,797,6673,4,87402,8750,3633,1784,1433,,1,9453,366,335,1423,39,,261,355,3077,,5,249,36,,2,,,1175,14426,,89,101,6269,6534,26,2581,1,1659,1281,315,642,173,625,7,23,1210,876,1624,230,1036,587,1507,1563,55,219,1274,691,4,3414,1421,872,1442,14,27,,336,80,274,1488,290,68,453,306,4509,607,7,428,14,302,14850,,,
106190696,190696,LOS ANGELES,PACIFICA HOSPITAL OF THE VALLEY,9449 SAN FERNANDO ROAD,SUN VALLEY,91352,Investor - Corporation,Teaching,200-299,District 20,District 43,Pacoima East/Sun Valley West,Urban,1255,15,1689,,1,,2006,954,,,50,504,746,561,465,374,174,86,,1415,1533,12,,84,,594,810,8,1410,54,1739,3,1184,2,17,11,,,4,,,,1737,1141,82,,24751,1821,157,980,,,2,2315,58,6,194,78,2,223,30,11,1,,8,31,1,2,,,16,2944,,59,,148,517,,2236,,142,6,10,66,1954,76,1,3,132,92,171,54,29,71,,,,90,56,5,2,923,,37,36,1,,,3,,4,23,,,16,5,1909,3,,947,,10,2003,,,
106190708,190708,LOS ANGELES,SHERMAN OAKS HOSPITAL,4929 VAN NUYS BOULEVARD,SHERMAN OAKS,91403,Investor - Limited Liability Company,Teaching,150-199,District 27,District 44,Sherman Oaks/Studio City/Valley Village,Urban,4310,15,406,,,,2413,2318,,,,150,242,320,491,959,1260,1304,5,951,3750,30,,163,,423,2687,69,1389,,2764,40,301,1507,9,86,,,24,,,,4118,217,396,,26530,426,4006,299,,,,1522,208,97,1613,156,8,316,154,528,,,83,46,,,,,228,4503,,13,,346,3335,21,1012,4,649,56,60,438,438,214,1,16,650,356,546,90,153,308,,,,146,582,24,4,512,,448,276,8,,,10,6,126,402,8,10,44,17,2842,22,17,199,9,52,4454,,,
106190754,190754,LOS ANGELES,ST. FRANCIS MEDICAL CENTER,3630 E. IMPERIAL HIGHWAY,LYNWOOD,90262,Investor - Limited Liability Company,Teaching,300-499,District 33,District 62,Downey Southwest/Lynwood North Central/South Gate East,Urban,16102,,1623,,,,8046,9678,1,2837,360,2546,2728,1828,2000,2295,1793,1338,,12708,4369,648,15,232,33,2950,1083,475,12424,513,10018,3110,4,736,887,118,,3,64,,2785,,13434,4,4287,,92153,12656,576,916,2785,776,16,13075,679,150,1128,145,70,101,482,1644,,4,143,96,,8,,,429,17296,,56,709,660,3099,17,13184,,1766,216,82,773,1669,538,17,16,1882,592,1266,165,290,750,3005,2836,1,146,1713,2,,5836,2726,1885,1028,7,5,3,198,43,384,694,123,11,224,89,4365,104,52,937,1,32,16703,,,
106190756,190756,LOS ANGELES,SAINT JOHN'S HEALTH CENTER,2121 SANTA MONICA BLVD.,SANTA MONICA,90404,Non-profit Corporation (incl. Church-related),Teaching,200-299,District 24,District 51,Santa Monica Central/Sawtelle/West Los Angeles,Urban,13505,,,,,,5620,7883,2,1927,50,445,1911,712,839,1630,2558,3433,,1677,11168,660,,807,20,838,8800,559,2124,357,10216,433,196,677,16,32,7,1,4,4,1919,,7071,10,6424,,53624,6935,537,4102,1919,,12,7678,206,460,1458,48,,161,370,2914,,,194,12,,4,,,645,12860,,165,65,5269,6784,50,1172,,1486,765,101,250,97,314,12,11,1802,594,951,138,1303,552,2003,1925,16,136,982,66,1,1195,1899,1391,1050,14,70,7,697,41,208,1530,442,61,336,279,4110,175,1,313,24,267,12900,,,
106190758,190758,LOS ANGELES,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,501 S BUENA VISTA STREET,BURBANK,91505,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 20,District 44,Burbank North/North Hollywood South,Urban,17727,,,,333,,7670,10389,1,2273,82,1223,2182,1296,1728,2486,3202,3586,2,5209,12682,169,11,821,32,806,9326,134,6411,519,14099,425,288,709,20,306,1,2,3,,2207,,11794,15,6251,,78618,11808,664,3344,2207,,37,10051,360,271,2074,204,1,286,670,3881,,6,231,21,2,2,,,666,17394,,229,93,4430,8116,38,5154,,2746,698,156,679,199,491,20,27,2377,896,1857,197,488,891,2332,2265,11,217,1368,145,,2330,2167,1720,2148,3,6,,550,64,198,794,274,28,414,361,6773,230,6,244,12,203,17595,,,
