ninedigit,FACILITY_NAME,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,teach_rural,OSHPD_ID,TOC_Acute,TOC_SN_IC,TOC_Rehab,TOC_Psych,TOC_Chem_Dep,TOC_Unknown,Sex_Female,Sex_Male,Sex_Unknown,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_01_09,Age_Unknown,RaceGrp_Asian,RaceGrp_Black,RaceGrp_Native_Am,RaceGrp_Other,RaceGrp_Unknown,RaceGrp_White,RaceGrp_Invalid_Blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Invalid,Route_Another_ER,Route_No_ER,Route_Your_ER,Route_NA,Adm_Elective,Adm_Emergency,Adm_NA,Adm_Urgent,Adm_Newborn,Adm_Trauma,DNR_No,DNR_Yes,DNR_Unknown,Admt_Amb_Surgery,Admt_Another_HCF,Admt_Clinic_Dr,Admt_Court_LE,Admt_DistinctPartXfer,Admt_Hosp_Dif,Admt_Non_HCF,Admt_SNF_ICF_ALF,Admt_NA,Admt_NB_InHosp,Admt_NB_OutHosp,Admt_NB_Illogical,Admt_HospiceFacility,disp_Acute_Care,disp_Against_Medical_Advice,disp_CAH,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_Childrens_or_Cancer,disp_Not_Defined_Elsewhere,disp_Invalid_Blank,disp_Other,disp_Disaster_Care_Site,Payer_County_Indigent_Prog,Payer_Medi_Cal,Payer_Medicare,Payer_Other_Government,Payer_Other_Payer,Payer_Priv_Coverage,Payer_Self_Pay,Payer_Workers_Comp,Payer_Other_Indigent,Payer_Unknown,DX_All_Pregnancies,DX_Blood_Disorders,DX_Cancer,DX_Circulatory_System,DX_Digestive_System,DX_Ear_Disorders,DX_Endocrine_Diseases,DX_Eye_Disorders,DX_Genitourinary_System,DX_Infections,DX_Injuries_Poisonings,DX_Mental_Disorders,DX_Musculoskeletal_System,DX_Nervous_System,DX_Other_Reasons,DX_Respiratory_System,DX_Skin_Disorders,DX_Symptoms,DX_Birth_Defects,DX_Births,DX_Perinatal_Disorders,PR_Cardiovascular_System,PR_Diagnostic_Therapeutic,PR_Digestive_System,PR_Female_Reproductive_System,PR_General,PR_Musculoskeletal_System,PR_Nervous_System,PR_None,PR_Respiratory_System,PR_Skin_and_Breast_System,PR_Urinary_System,PR_Vascular_System,PR_Ear_Nose_Sinus,PR_Endocrine_System,PR_Eye,PR_Imaging,PR_Lymph_System,PR_Male_Reproductive_System,PR_Mouth_and_Throat,PR_Pregnancy,PR_New_Technologies,PR_Radiation_Oncology,PR_Nuclear_Medicine,ECM_Abnormal_Reaction_Later_Cx,ECM_Accidental_Falls,ECM_All_Transport_Types,ECM_Assault,ECM_Intentional_SelfHarm,ECM_Legal_War_Terrorism,ECM_Medical_Misadventures,ECM_Natural_Environmental_Factor,ECM_None,ECM_Other_Factors,ECM_Supplementary_Factors,ECM_W_Inanimate_Animate_Object,ECM_Med_Device_Adverse_Incident,ECM_Undetermined_Intent,ECM_NonTrans_Drowning_Subm,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,Zip_Blank_Invalid,Dsch_Days
106010735,ALAMEDA HOSPITAL,ALAMEDA,2070 CLINTON AVE,ALAMEDA,94501,City or County,100-149,District 9,District 18,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,Urban,NA,010735,2476,284,,,,,1444,1316,,5,88,159,240,374,595,535,763,1,,,434,578,1,659,52,1036,,262,2497,1,,395,381,1984,,400,363,2,1995,,,2414,346,,2,6,27,3,67,600,1532,523,,,,,,233,106,1,109,296,34,3,8,60,81,1223,606,,,,,,19,835,1546,10,2,298,36,14,,,4,41,57,544,362,3,149,1,166,418,199,63,106,80,15,333,114,105,,,,165,287,238,15,50,105,20,1731,43,59,21,26,,,,,,,,,,,,95,149,9,6,3,1,2,4,2314,23,148,6,,,,2619,2,114,21,4,,50764
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,2450 ASHBY AVENUE,BERKELEY,94705,Non-profit Corporation (incl. Church-related),300-499,District 9,District 15,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,Urban,NA,010739,17845,,,,,,11906,5939,,249,2422,3689,1125,1013,1428,1379,1306,5234,,,2846,3893,43,4786,248,6029,,4476,13083,286,,331,12169,5345,,2890,3693,8,6114,5139,1,17295,550,,13,33,224,5,9,675,11479,265,3,5121,18,,,290,270,,202,1335,117,,157,275,40,14030,1115,12,2,,,,,7559,3324,340,16,6188,347,71,,,5828,162,317,847,857,20,296,8,322,1230,758,153,771,233,25,399,202,183,5,5139,90,244,1281,696,182,289,955,275,7941,104,213,78,223,5,18,7,35,39,141,46,5073,,,,341,492,45,16,6,1,,9,16499,43,306,63,20,4,,17271,6,443,91,34,,70605
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,ALAMEDA,747 52ND STREET,OAKLAND,94609,Non-profit Corporation (incl. Church-related),150-199,District 9,District 15,OAKLAND WEST CENTRAL,Urban,Teaching,010776,9003,,72,,,,4055,5020,,2977,156,,,,1,,,1984,3957,,795,1589,30,4487,143,2031,,3660,5307,108,,6,3811,5250,8,2165,6508,,240,,162,9075,,,1,12,374,1,59,2307,6320,,1,,,,,130,24,1,58,27,6,2,26,61,3,8729,,5,,3,,,,3747,23,2621,62,2353,269,,,,,423,184,97,1062,44,493,30,317,433,1195,45,299,484,411,1824,292,462,550,,430,227,1315,880,43,130,617,435,4377,83,278,48,43,55,5,18,116,29,28,341,,7,,,263,406,283,38,8,,1,3,7425,153,330,141,10,2,12,8955,1,,119,,,46213
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,ALAMEDA,2001 DWIGHT WAY,BERKELEY,94704,Non-profit Corporation (incl. Church-related),50-99,District 9,District 15,BERKELEY SOUTH AND WEST/EMERYVILLE/OAKLAND NORTHWEST,Urban,NA,010844,,,,2313,,,1354,959,,594,489,338,286,255,211,93,47,,,,179,511,10,260,226,1127,,259,1844,210,,880,1433,,,18,128,5,2162,,,2302,11,,,47,28,8,3,1065,1148,14,,,,,,64,41,,,2,,5,30,10,122,1972,44,,23,,,,,602,519,19,2,1155,16,,,,20,,,,,,,,,,6,2285,,,,1,,1,,,,,279,3,,,,,2024,,,,,,,,,,,7,,,,,3,21,8,12,37,2,,2,2143,9,55,15,,6,,1903,,378,24,8,,17634
106010846,HIGHLAND HOSPITAL,ALAMEDA,1411 EAST 31ST STREET,OAKLAND,94602,City or County,200-299,District 9,District 18,OAKLAND WEST CENTRAL,Urban,NA,010846,11618,68,535,2810,,,7092,7939,,361,2411,2382,1879,2510,2277,1032,781,1398,,,2015,5479,109,4698,52,2678,,4111,10834,86,,46,6988,7997,,,6737,,5687,1354,1253,14542,489,,22,120,62,169,376,494,11771,663,,1341,13,,,728,504,,278,527,119,277,39,317,609,9814,1170,29,608,,12,,290,8496,3475,47,,2414,245,51,13,,1541,82,496,1408,1045,14,383,18,322,857,2312,3056,364,334,195,609,278,309,10,1352,46,297,2702,748,103,406,891,204,6916,254,585,155,161,10,24,16,30,38,51,77,1362,1,,,243,871,781,464,52,7,5,14,11306,121,904,170,82,10,1,13335,4,1563,67,62,,119913
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,2800 BENEDICT DRIVE,SAN LEANDRO,94577,Investor - Limited Liability Company,50-99,District 9,District 18,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,Urban,NA,010887,423,,,,,,175,248,,,21,28,45,88,100,89,52,,,,75,91,2,44,,211,,59,322,42,,,423,,,421,,,2,,,406,17,,,,4,,,419,,,,,,,,68,4,,68,51,4,,,17,,16,195,,,,,,,148,137,,,136,,2,,,,,1,6,10,,7,,4,13,16,,17,6,16,302,25,,,,,5,188,31,,2,17,,136,6,28,,10,,,,,,,,,,,,68,13,19,4,,,,1,296,7,10,,5,,,418,1,1,3,,,27858
106010937,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,350 HAWTHORNE AVENUE,OAKLAND,94609,Non-profit Corporation (incl. Church-related),300-499,District 9,District 18,DIMOND/MONTCLAIR/OAKLAND EAST/OAKMORE/PIEDMONT/PIEDMONT PINES/TRESTLE GLEN,Urban,NA,010937,11839,,1215,,,,6680,6374,,41,452,726,1097,1976,3023,2800,2939,,,,2432,4972,18,1375,151,4106,,1266,11598,190,,293,3879,8882,,3363,5977,4,3710,,,12104,950,,24,62,262,2,448,1510,10072,673,1,,,,,381,214,1,389,3409,287,1,18,401,82,5878,1988,,5,,,,,3015,7078,150,19,2572,152,67,1,,23,307,705,3275,1285,22,615,16,576,2096,1125,101,580,526,447,815,139,388,13,,,1067,2145,1146,203,554,755,94,5663,266,455,149,227,1,15,,138,86,42,39,3,2,4,,738,733,106,24,2,,4,14,10809,74,447,43,52,8,,12461,3,463,106,21,,71290
106010967,ST. ROSE HOSPITAL,ALAMEDA,27200 CALAROGA AVENUE,HAYWARD,94545,Non-profit Corporation (incl. Church-related),200-299,District 10,District 20,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,Urban,NA,010967,5520,,,,,,3113,2407,,66,494,480,399,776,982,898,877,548,,,1378,722,4,1884,9,1523,,1658,3850,12,,34,1663,3813,10,584,3826,,562,548,,5241,269,10,2,,106,,,180,4122,561,1,546,1,1,,242,119,,179,824,37,1,16,7,90,2986,1017,2,,,,,4,2895,1967,3,,603,32,8,8,,617,27,72,961,700,7,227,,219,498,214,48,388,84,7,617,104,182,,548,,255,835,502,29,148,429,21,2384,90,93,32,108,,5,,9,7,3,16,554,,,,144,156,9,2,1,,,4,4759,79,319,17,30,,,5424,,70,18,8,,22068
106010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,2000 MOWRY AVENUE,FREMONT,94538,District,300-499,District 10,District 20,FREMONT EAST/NILES/UNION CITY CENTRAL,Urban,NA,010987,13436,,,,,,7725,5711,,82,633,1606,668,1349,2026,2470,2805,1723,74,,5308,543,23,2918,357,4276,11,1532,11520,372,12,3,5229,8204,,2121,8194,,1515,1605,1,11944,1492,,1,42,3016,1,,,8002,568,,1594,11,,201,172,,1,353,2796,120,,31,66,12,8167,1715,2,1,,,,,2128,6021,22,116,4830,228,91,,,1666,93,316,2000,1354,27,567,6,541,737,829,86,1476,235,19,1171,253,364,7,1606,83,550,2729,975,61,374,1758,169,4068,202,224,120,415,,22,1,61,34,51,32,1589,,1,,301,568,35,2,1,,,14,12357,41,80,30,7,,,13103,55,138,91,5,44,59552
106013619,SAN LEANDRO HOSPITAL,ALAMEDA,13855 EAST 14TH STREET,SAN LEANDRO,94578,City or County,50-99,District 9,District 18,ASHLAND/BROOKFIELD VILLAGE/CASTRO VALLEY SOUTH/ELMHURST/HAYWARD NORTHEAST/SAN LEANDRO NORTH CENTRAL/,Urban,NA,013619,2642,,,,,,1261,1363,18,15,114,208,281,522,621,440,441,,,,329,1099,14,460,25,715,,70,2547,25,,70,289,2283,,172,3,,2466,1,,2525,116,1,,20,8,,,74,2393,146,,,,1,,82,112,,64,437,28,1,19,51,8,1259,581,,,,,,,985,1319,46,92,151,44,3,2,,4,42,49,448,348,,216,1,138,438,306,82,59,44,2,330,120,13,2,,,129,329,235,,116,90,5,1262,59,107,118,174,,3,,10,2,1,2,,,,,263,83,7,8,,1,1,6,1901,47,312,10,2,1,,2444,1,169,19,9,,11575
106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,3012 SUMMIT STREET,OAKLAND,94609,Non-profit Corporation (incl. Church-related),1-49,District 9,District 18,DIMOND/MONTCLAIR/OAKLAND EAST/OAKMORE/PIEDMONT/PIEDMONT PINES/TRESTLE GLEN,Urban,NA,013687,,,,,479,,166,313,,2,91,100,119,109,52,6,,,,,24,47,,53,25,330,,59,393,27,,7,472,,,457,1,,21,,,478,1,,,4,1,,2,25,446,1,,,,,,7,45,,,1,1,1,2,,3,418,,,1,,,,,1,19,18,3,424,12,2,,,2,,,,,,,,,,,477,,,,,,,,,,,441,,,,,,38,,,,,,,,,,,,,,,,,3,,1,1,,,,456,4,12,2,,,,467,1,11,,,,7218
106014034,FREMONT HOSPITAL,ALAMEDA,39001 SUNDALE DRIVE,FREMONT,94538,Investor - Corporation,100-149,District 10,District 25,CENTERVILLE/FREMONT WEST/IRVINGTON/NEWARK EAST CENTRAL,Urban,NA,014034,,,,5506,,,3092,2413,1,2819,916,578,430,398,243,81,13,,28,,736,323,3,1199,,3245,,311,5195,,,4072,1434,,,25,2,,5479,,,5506,,,,932,240,,,4226,103,1,4,,,,,22,88,,,3,,6,11,1,641,4711,23,,,,,,11,954,549,264,,3708,4,,10,6,,,,,,,,,,,,5505,,,,,,1,,,,,217,,,,,,5289,,,,,,,,,,,,,,,,,2,1,,59,,,1,5363,74,3,2,,1,,5313,,168,23,,2,36991
106014050,STANFORD HEALTH CARE - VALLEYCARE,ALAMEDA,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,Non-profit Corporation (incl. Church-related),150-199,District 7,District 16,DUBLIN/PLEASANTON/SANTA RITA/SUNOL,Urban,NA,014050,7518,78,,1,,,4641,2956,,51,486,1181,475,703,887,1237,1372,1178,27,,1645,288,16,1136,286,4226,,927,6332,338,,7,3817,3773,,2602,3811,,73,1111,,6980,616,1,2,64,1376,41,20,75,4643,265,,1102,7,2,,202,,,161,973,77,37,14,11,,4955,1148,2,,,17,,,1111,2869,239,256,2817,197,108,,,1402,48,238,815,620,4,280,1,228,723,467,51,686,84,23,562,93,103,5,1111,53,194,1638,523,96,242,789,65,2125,169,126,80,139,2,2,,41,23,5,6,1331,1,,,213,269,20,3,6,1,3,8,6294,125,535,33,87,,,7445,18,70,64,,,28183
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,ALAMEDA,39400 PASEO PADRE PARKWAY,FREMONT,94538,Non-profit Corporation (incl. Church-related),100-149,District 10,District 25,FREMONT EAST/NILES/UNION CITY CENTRAL,Urban,NA,014132,3892,,,,,,2003,1889,,19,136,271,354,576,655,840,1040,,1,,982,281,13,709,10,1897,,719,3170,3,,40,755,3097,,606,959,,2327,,,3182,710,,,120,187,,,178,3305,102,,,,,,136,19,,180,1228,129,,12,13,4,1746,405,,20,,,,,190,2285,,,1365,46,5,,1,17,39,108,596,463,2,502,3,192,938,274,38,95,48,22,344,83,125,3,,,128,761,743,17,193,222,42,1331,56,88,137,66,5,4,1,66,5,12,10,2,,,3,183,252,27,1,2,,,5,3154,57,191,17,2,1,,3849,,34,9,,,13693
106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,ALAMEDA,2633 EAST 27TH STREET,OAKLAND,94601,Investor - Corporation,1-49,District 9,District 18,OAKLAND WEST CENTRAL,Urban,NA,014207,,,,1314,,,710,604,,104,480,231,176,163,120,32,8,,,,117,190,2,355,17,633,,209,1049,56,,,1314,,,,,,1314,,,1314,,,,30,,,,331,951,,2,,,,,22,36,,,,2,,,,146,1107,1,,,,,,,57,229,,33,994,1,,,,3,,,,,,,,,1,,1306,1,,,,,3,,,,,,,,,,,1314,,,,,,,,,,,,,,,,,,,,,,,,1314,,,,,,,1312,,,2,,,7515
106014226,TELECARE WILLOW ROCK CENTER,ALAMEDA,2050 FAIRMONT DRIVE,SAN LEANDRO,94578,Investor - Corporation,1-49,District 10,District 20,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,Urban,NA,014226,,,,536,,,343,193,,536,,,,,,,,,,,29,136,1,248,13,109,,186,283,67,,,536,,,,,,536,,,536,,,,1,,14,,17,504,,,,,,,1,14,,,,13,6,,,36,466,,,,,,,371,1,,,4,160,,,,,,,,,,,,,,,,536,,,,,,,,,,,,,,,,,536,,,,,,,,,,,,,,,,,,,,,,,,536,,,,,,,536,,,,,,3758
106014233,EDEN MEDICAL CENTER,ALAMEDA,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,Non-profit Corporation (incl. Church-related),100-149,District 10,District 20,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,Urban,NA,014233,9957,,,,,,5382,4575,,99,805,1046,732,1154,1610,1484,1984,1043,,,1861,1390,24,1700,94,4888,,2219,7615,123,,123,2897,6937,,1158,4149,4,2451,1025,1170,9257,700,,9,44,139,5,7,346,7751,629,,1020,5,,2,551,131,2,305,1468,258,8,40,253,67,5046,1818,3,7,,,,,2477,4096,125,22,2979,185,73,,,1085,105,322,1405,817,3,313,6,350,1321,1515,105,452,246,21,464,142,238,4,1025,18,228,1212,655,55,352,845,237,4223,169,334,100,288,5,5,5,105,36,67,22,1014,,,,280,873,453,76,20,5,3,5,7727,34,382,73,19,7,,9656,3,215,65,18,,40936
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,ALAMEDA,275 W. MACARTHUR BLVD.,OAKLAND,94611,Non-profit Corporation (incl. Church-related),300-499,District 9,District 15,DIMOND/MONTCLAIR/OAKLAND EAST/OAKMORE/PIEDMONT/PIEDMONT PINES/TRESTLE GLEN,Urban,NA,014326,23527,,,,,,13134,10392,1,880,1376,3156,1568,2318,3419,3391,3116,3502,794,7,3866,5822,95,4115,350,9279,,3842,19360,325,,852,11982,10693,,4380,2032,3,14053,3059,,21438,2089,,2,44,459,2,4,1724,17871,329,33,3050,5,4,,712,174,1,539,2159,328,2,53,185,7,17485,1814,2,50,,16,,,2315,8500,213,,12125,341,32,,1,3283,310,1515,2886,1883,20,1029,28,603,2410,1346,238,1271,446,525,1529,290,506,217,3067,125,446,5759,2105,158,758,1642,611,5549,745,480,537,272,35,24,7,456,198,553,162,2999,7,4,20,907,910,200,38,5,1,2,14,20103,411,791,110,21,13,1,23125,,326,70,5,1,95812
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,ALAMEDA,2500 MERCED STREET,SAN LEANDRO,94577,Non-profit Corporation (incl. Church-related),200-299,District 9,District 18,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,Urban,NA,014337,15113,,,,,,9618,5493,2,73,1533,2775,695,1094,1615,1642,1777,3906,1,2,4885,2073,60,3319,170,4606,,3477,11422,214,,102,9769,5242,,2206,1105,3,7976,3823,,14029,1084,,1,266,418,1,,491,9625,487,1,3811,7,5,,292,59,,286,3007,159,1,26,29,3,10037,1198,1,15,,,,,1071,4383,21,,9516,109,12,,1,4037,70,185,1211,810,2,282,,275,1597,716,80,1016,113,44,528,106,134,6,3825,76,173,4352,652,34,339,1350,48,2455,130,204,250,293,5,1,2,118,23,886,58,3731,,1,8,566,412,85,9,6,1,2,6,13485,147,334,39,14,7,,15040,1,52,20,,,48015
106034002,SUTTER AMADOR HOSPITAL,AMADOR,200 MISSION BLVD,JACKSON,95642,Non-profit Corporation (incl. Church-related),50-99,District 8,District 5,IONE/JACKSON/PINE GROVE/SUTTER CREEK,Rural,Small/Rural,034002,2661,,,,,,1535,1126,,23,239,157,91,296,447,518,610,280,,,31,18,29,76,106,2401,,134,2389,138,,1,734,1926,,304,1269,1,810,274,3,2381,280,,2,2,22,27,,13,2237,84,,274,,,,156,42,9,62,403,53,9,2,26,10,1480,407,,2,,,,,643,1486,68,9,416,30,7,2,,302,22,33,356,306,4,75,2,98,424,235,18,92,62,3,230,60,58,1,274,6,155,243,233,4,77,186,10,1389,23,39,,7,,,,15,1,3,,276,,,,64,193,9,,,,1,5,2309,11,55,12,2,,,2633,1,5,19,3,,9528
106040802,ORCHARD HOSPITAL,BUTTE,240 SPRUCE STREET,GRIDLEY,95948,Non-profit Corporation (incl. Church-related),100-149,District 4,District 3,BIGGS/EAST BIGGS/GRIDLEY,Rural,Small/Rural,040802,270,148,,,,,219,199,,,9,16,32,51,72,97,141,,,,5,1,,50,,362,,46,372,,,1,171,246,,164,9,,245,,,92,326,,6,1,9,,100,54,233,12,,,,,3,33,8,6,11,60,1,,1,1,,164,133,,,,,,,78,314,,,26,,,,,,2,7,57,24,,29,,29,31,40,6,28,8,21,96,25,15,,,,1,26,2,,3,13,,350,2,2,13,4,,,,2,,,,,,,,4,32,2,,,,1,2,338,7,6,,6,20,,413,,3,2,,,3683
106040875,ADVENTIST HEALTH FEATHER RIVER,BUTTE,5974 PENTZ ROAD,PARADISE,95969,Non-profit Corporation (incl. Church-related),100-149,District 4,District 3,MAGALIA/PARADISE/STIRLING CITY,Rural,NA,040875,4490,,,,,,2827,1663,,53,458,382,213,415,714,694,808,728,25,,60,28,10,195,81,4116,,182,4139,161,8,12,1868,2584,26,725,747,2,2314,702,,4032,458,,,1,13,3,1,29,3647,92,2,700,,2,,162,64,,56,460,78,2,6,22,,3014,557,,1,,,68,,1476,2105,42,,808,54,5,,,716,29,76,436,487,4,72,3,176,368,323,18,389,65,11,474,82,46,1,700,14,61,373,359,10,107,533,18,1494,56,57,30,44,2,4,1,396,13,164,22,690,,1,55,63,230,13,6,1,2,1,6,3613,61,444,17,33,,,4458,,1,28,3,,16212
106040937,OROVILLE HOSPITAL,BUTTE,2767 OLIVE HIGHWAY,OROVILLE,95966,Non-profit Corporation (incl. Church-related),100-149,District 4,District 3,OROVILLE/PALERMO/THERMALITO,Rural,NA,040937,13913,,,,,,7480,6433,,230,1049,1321,1540,2582,2747,2041,1834,497,72,,505,452,410,957,46,11543,,921,12767,225,,,1847,12066,,869,4,,12599,441,,13370,543,,35,18,2,42,,17,13244,114,,438,3,,,253,945,,163,359,39,76,20,1,90,10819,1148,,,,,,6,5860,6377,127,,1266,229,43,5,,543,62,268,1569,1389,28,431,21,652,3821,1583,187,554,540,63,551,151,1034,9,441,16,35,973,1164,144,280,557,41,8950,265,357,279,176,6,9,2,27,14,165,28,440,,1,,344,492,72,50,4,3,7,20,11612,137,1108,54,9,1,,13508,,320,85,,,46626
106040962,ENLOE MEDICAL CENTER- ESPLANADE,BUTTE,1531 ESPLANADE,CHICO,95926,Non-profit Corporation (incl. Church-related),200-299,District 4,District 3,CHAPMANTOWN/CHICO,Urban,NA,040962,19309,,504,605,,,11133,9285,,324,1740,1865,1402,2362,3650,3438,3602,1861,174,,373,327,214,3126,187,16191,,2644,17213,561,,45,7117,13256,,2799,11804,13,3907,1730,165,18388,2030,,6,72,332,4,503,723,16686,334,28,1718,12,,,353,116,,501,2401,259,14,47,478,103,13859,2282,,3,,2,,9,5104,9805,103,15,5069,240,73,,,1880,125,526,3048,2127,21,987,19,954,1736,2050,701,1039,406,208,1841,447,485,14,1731,73,571,1679,1892,57,843,1574,245,9671,422,635,262,420,8,9,6,84,83,146,107,1701,1,1,1,455,1003,328,58,14,4,2,29,17265,92,1018,108,39,3,,19856,3,446,100,13,,86492
106044006,BUTTE COUNTY MENTAL HEALTH SERVICES,BUTTE,592 RIO LINDO AVENUE,CHICO,95926,City or County,1-49,District 4,District 3,CHAPMANTOWN/CHICO,Urban,NA,044006,,,,287,,,155,132,,14,80,70,50,42,24,6,1,,,,3,11,15,19,2,237,,38,247,2,,125,162,,,,165,,122,,,287,,,,10,110,27,,109,20,9,2,,,,,,2,4,,,,15,3,,4,244,,,15,,,,,231,51,,,,5,,,,,,,,,,,,,,,286,,,,,,1,,,,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,287,,,,,,,281,,5,1,,,5455
106050932,MARK TWAIN MEDICAL CENTER,CALAVERAS,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,95249,Non-profit Corporation (incl. Church-related),1-49,District 8,District 5,ANGELS CAMP/ARNOLD/COPPEROPOLIS/MOUNTAIN RANCH/MURPHYS/SAN ANDREAS/VALLEY SPRINGS/WEST POINT,Rural,Small/Rural,050932,843,18,,,,,449,412,,6,22,34,47,103,215,221,213,,,,8,2,2,4,4,841,,22,834,5,,,93,768,,93,768,,,,,701,160,,,2,,,16,2,841,,,,,,,59,19,,39,181,13,1,6,4,6,339,192,,2,,,,,158,554,19,,120,7,3,,,,9,34,109,111,1,36,,48,110,79,25,84,13,4,138,39,21,,,,22,93,74,,24,103,4,460,12,14,15,37,,,,,2,1,,,,,,13,60,7,2,,1,,1,693,7,71,6,,,,861,,,,,,3216
106060870,COLUSA MEDICAL CENTER,COLUSA,199 E WEBSTER STREET,COLUSA,95932,Investor - Limited Liability Company,1-49,District 4,District 3,COLUSA,Rural,Small/Rural,060870,689,66,,,,,395,360,,4,33,56,55,116,156,168,167,,,,4,11,9,,9,722,,224,531,,,100,85,570,,7,194,,554,,,681,70,4,2,,1,3,,103,622,24,,,,,,70,44,,12,31,1,4,1,,,486,105,,,1,,,,182,411,,30,102,22,8,,,4,16,4,111,83,1,45,,66,142,29,8,18,37,8,120,30,33,,,,2,575,14,,3,2,,128,2,5,22,2,,,,,,,,,,,,7,19,3,,,,,1,690,7,22,6,,,,737,,11,7,,,4036
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,2500 ALHAMBRA AVENUE,MARTINEZ,94553,City or County,150-199,District 3,District 14,CROCKETT/HERCULES/MARTINEZ WEST/PINOLE/PORT COSTA/RICHMOND NORTHEAST/RODEO,Urban,NA,070924,8034,,,574,,,5158,3449,1,189,1442,1389,774,996,996,518,350,1954,,,1077,1272,44,3370,29,2816,,3580,4828,200,,20,4242,4346,,411,1026,10,5258,1903,,8285,323,,,,270,45,432,65,5849,44,,1899,3,1,,78,5,,33,13,34,73,51,,85,8116,120,,,,,,,6493,1374,42,,347,352,,,,2013,64,188,627,806,11,280,3,263,297,259,827,90,135,50,330,185,224,4,1902,50,23,2164,518,200,247,154,64,2973,25,172,30,47,5,10,1,,33,15,113,1814,,,,201,157,27,9,11,1,9,1,7871,154,115,46,5,1,,8136,,437,15,7,13,44279
106070934,SUTTER DELTA MEDICAL CENTER,CONTRA COSTA,3901 LONE TREE WAY,ANTIOCH,94509,Non-profit Corporation (incl. Church-related),100-149,District 7,District 11,BRENTWOOD CENTRAL AND WEST/OAKLEY,Urban,NA,070934,8083,,,,,,4547,3536,,114,714,730,730,1257,1330,1165,1165,821,57,,647,1670,21,1644,46,4055,,2034,5990,59,,15,1752,6316,,412,3702,3,3225,741,,7814,269,,5,18,116,1,2,81,6809,310,,737,4,,,336,230,4,164,1318,100,,23,16,87,4979,822,1,3,,,,,2920,3195,109,14,1662,171,12,,,805,134,119,1393,927,9,351,3,325,1123,472,80,117,140,14,855,140,306,1,741,28,405,1274,622,35,187,271,37,3962,120,157,74,41,3,1,,117,10,20,11,736,,,,240,362,30,10,2,,3,7,7089,33,250,37,16,4,,7857,,169,47,10,,30588
