ninedigit,FACILITY_NAME,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,teach_rural,OSHPD_ID,TOC_Acute,TOC_SN_IC,TOC_Rehab,TOC_Psych,TOC_Chem_Dep,TOC_Unknown,Sex_Female,Sex_Male,Sex_Unknown,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_01_09,Age_Unknown,RaceGrp_Asian,RaceGrp_Black,RaceGrp_Native_Am,RaceGrp_Other,RaceGrp_Unknown,RaceGrp_White,RaceGrp_Invalid_Blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Invalid,Route_Another_ER,Route_No_ER,Route_Your_ER,Route_NA,Adm_Elective,Adm_Emergency,Adm_NA,Adm_Urgent,Adm_Newborn,Adm_Trauma,DNR_No,DNR_Yes,DNR_Unknown,Admt_Amb_Surgery,Admt_Another_HCF,Admt_Clinic_Dr,Admt_Court_LE,Admt_DistinctPartXfer,Admt_Hosp_Dif,Admt_Non_HCF,Admt_SNF_ICF_ALF,Admt_NA,Admt_NB_InHosp,Admt_NB_OutHosp,Admt_NB_Illogical,Admt_HospiceFacility,disp_Acute_Care,disp_Against_Medical_Advice,disp_CAH,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_Childrens_or_Cancer,disp_Not_Defined_Elsewhere,disp_Invalid_Blank,disp_Other,disp_Disaster_Care_Site,Payer_County_Indigent_Prog,Payer_Medi_Cal,Payer_Medicare,Payer_Other_Government,Payer_Other_Payer,Payer_Priv_Coverage,Payer_Self_Pay,Payer_Workers_Comp,Payer_Other_Indigent,Payer_Unknown,DX_All_Pregnancies,DX_Blood_Disorders,DX_Cancer,DX_Circulatory_System,DX_Digestive_System,DX_Ear_Disorders,DX_Endocrine_Diseases,DX_Eye_Disorders,DX_Genitourinary_System,DX_Infections,DX_Injuries_Poisonings,DX_Mental_Disorders,DX_Musculoskeletal_System,DX_Nervous_System,DX_Other_Reasons,DX_Respiratory_System,DX_Skin_Disorders,DX_Symptoms,DX_Birth_Defects,DX_Births,DX_Perinatal_Disorders,PR_Cardiovascular_System,PR_Diagnostic_Therapeutic,PR_Digestive_System,PR_Female_Reproductive_System,PR_General,PR_Musculoskeletal_System,PR_Nervous_System,PR_None,PR_Respiratory_System,PR_Skin_and_Breast_System,PR_Urinary_System,PR_Vascular_System,PR_Ear_Nose_Sinus,PR_Endocrine_System,PR_Eye,PR_Imaging,PR_Lymph_System,PR_Male_Reproductive_System,PR_Mouth_and_Throat,PR_Pregnancy,PR_New_Technologies,PR_Radiation_Oncology,PR_Nuclear_Medicine,ECM_Abnormal_Reaction_Later_Cx,ECM_Accidental_Falls,ECM_All_Transport_Types,ECM_Assault,ECM_Intentional_SelfHarm,ECM_Legal_War_Terrorism,ECM_Medical_Misadventures,ECM_Natural_Environmental_Factor,ECM_None,ECM_Other_Factors,ECM_Supplementary_Factors,ECM_W_Inanimate_Animate_Object,ECM_Med_Device_Adverse_Incident,ECM_Undetermined_Intent,ECM_NonTrans_Drowning_Subm,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,Zip_Blank_Invalid,Dsch_Days
106444013,WATSONVILLE COMMUNITY HOSPITAL,SANTA CRUZ,75 NIELSON STREET,WATSONVILLE,95076,Investor - Corporation,100-149,District 17,District 30,FREEDOM/WATSONVILLE,Urban,NA,444013,4120,,,,,6,2467,1659,,136,583,507,284,374,436,389,532,801,84,,39,19,1,8,11,4048,,2677,1448,1,,6,1491,2621,8,1134,2221,,46,725,,3898,228,,,2,7,,,5,3348,39,,724,1,,,113,49,1,62,291,69,1,8,27,2,3076,422,4,1,,,,,2260,1228,5,,596,13,14,1,9,922,15,67,308,439,4,160,,173,442,172,50,102,51,11,305,90,49,1,726,39,89,453,285,42,105,174,24,1904,34,67,56,53,,,,3,1,7,1,828,,,,47,172,13,2,2,1,3,4,3769,12,80,7,12,2,,3992,,120,14,,,15133
106444029,TELECARE SANTA CRUZ PHF,SANTA CRUZ,2250 SOQUEL AVE,SANTA CRUZ,95062,Investor - Corporation,1-49,District 17,District 29,APTOS/CAPITOLA/LIVE OAK/RIO DEL MAR/SANTA CRUZ,Urban,NA,444029,,,,460,,,178,282,,20,137,95,74,73,49,8,4,,,,2,12,,124,13,309,,99,308,53,,,460,,,,,,460,,,460,,,,1,2,3,,31,421,1,1,,,,,13,25,,,,1,3,,,122,294,2,,,,,,,310,104,1,11,4,30,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,,,452,,3,3,1,1,5558
106450936,MAYERS MEMORIAL HOSPITAL,SHASTA,43563 STATE HWY. 299 E,FALL RIVER MILLS,96028,District,100-149,District 1,District 1,BURNEY/CASSEL/FALL RIVER MILLS/HAT CREEK/MCARTHUR,Frontier,Small/Rural,450936,212,116,,,,,169,159,,1,9,11,9,22,63,79,129,1,4,,2,,8,4,,314,,9,319,,,,140,188,,61,17,,249,,1,311,17,,,24,,,65,3,223,12,,,,,1,26,5,1,44,,1,2,,,,177,70,,2,,,,,17,220,50,8,31,1,,,1,3,7,8,39,21,,21,,26,34,24,15,14,15,5,60,22,13,,,1,,19,4,,1,,,295,1,2,1,1,,,,3,,,1,,,,,5,21,5,1,,,,,282,8,1,4,1,,,325,,1,2,,,16190
106450940,SHASTA REGIONAL MEDICAL CENTER,SHASTA,1100 BUTTE STREET,REDDING,96001,Investor - Limited Liability Company,200-299,District 1,District 1,REDDING,Urban,NA,450940,6855,,,162,,,3419,3598,,38,257,371,526,1164,1584,1682,1393,,2,,68,73,173,234,46,6423,,160,6820,37,,79,1125,5813,,1000,5790,,227,,,6362,655,,1,35,,17,11,258,6398,291,6,,,,,209,278,,235,1047,79,15,49,3,1,4061,1017,,3,3,17,,,1490,4711,14,55,605,70,67,5,,5,28,89,1283,950,9,214,3,570,1209,572,303,632,162,6,573,191,217,1,,,250,1556,601,1,305,784,14,2348,64,171,93,99,1,1,,636,7,7,,,2,,77,242,420,23,7,7,,,8,5614,112,492,38,52,2,,6579,1,340,71,20,6,32766
106450949,MERCY MEDICAL CENTER - REDDING,SHASTA,2175 ROSALINE AVENUE,REDDING,96001,Non-profit Corporation (incl. Church-related),200-299,District 1,District 1,REDDING,Urban,NA,450949,15675,,,,,,8614,7061,,282,1591,1373,876,1746,2631,2581,2196,2210,189,,259,183,151,932,505,13645,,684,14651,340,,101,6217,9357,,3047,3694,4,6298,1992,640,12193,3482,,3,30,393,5,46,1202,11537,467,,1976,12,4,,514,216,,593,2025,236,21,29,79,25,10122,1791,1,23,,,,1,4972,6719,504,11,3225,141,99,,3,2120,124,466,2172,1248,15,401,9,605,1470,1674,117,1132,404,118,1042,198,242,11,1987,120,543,2290,956,64,546,1729,246,5730,263,348,163,439,10,5,7,170,45,122,40,1958,,1,,697,929,345,81,13,5,4,31,12786,111,564,85,16,8,,15182,5,330,153,5,,64092
106454012,VIBRA HOSPITAL OF NORTHERN CALIFORNIA,SHASTA,2801 EUREKA WAY,REDDING,96001,Investor - Limited Liability Company,50-99,District 1,District 1,REDDING,Urban,NA,454012,544,512,,,,,545,511,,1,15,32,57,164,241,262,284,,,,3,3,3,1,2,1044,,9,1042,5,,1051,5,,,1056,,,,,,999,57,,,,,,1,1053,,2,,,,,,152,28,,70,320,15,1,,4,1,299,161,1,4,,,,,192,774,17,,68,,5,,,,3,1,102,35,,42,,54,30,207,1,64,18,96,346,51,5,1,,,15,268,2,,8,37,,558,2,99,,58,,,,9,,,,,,,,167,113,27,2,,,,,678,19,38,11,1,,,1022,,9,25,,,26511
106454013,PATIENTS' HOSPITAL OF REDDING,SHASTA,2900 EUREKA WAY,REDDING,96001,Investor - Partnership,1-49,District 1,District 1,REDDING,Urban,NA,454013,159,,,,,,84,75,,,2,5,27,37,45,38,5,,,,2,1,3,6,10,137,,,149,10,,,159,,,155,,,4,,,159,,,,,,,,2,157,,,,,,,,,,,6,,,,1,,152,,,,,,,,1,60,,,60,23,15,,,,,20,,,,,4,9,,3,,105,,14,,1,2,1,,,,2,,18,9,69,39,1,,13,,,,,8,,,,,,,,,,2,1,,,,1,,148,4,2,,1,,,157,,,2,,,306
106454068,RESTPADD PSYCHIATRIC HEALTH FACILITY,SHASTA,2750 EUREKA WAY,REDDING,96001,Investor - Corporation,1-49,District 1,District 1,REDDING,Urban,NA,454068,,,,501,,,245,256,,20,153,158,72,81,14,2,,1,,,11,16,16,3,8,447,,39,451,11,,501,,,,,,,501,,,501,,,,,,,,501,,,,,,,,4,1,,,,,3,,,30,446,17,,,,,,,,,501,,,,,,,,,,,,,,,,,,501,,,,,,,,,,,,,,,,,501,,,,,,,,,,,,,,,,,,,,,,,,501,,,,,,,416,1,78,6,,,4937
106470871,MERCY MEDICAL CENTER MT. SHASTA,SISKIYOU,914 PINE STREET,MOUNT SHASTA,96067,Non-profit Corporation (incl. Church-related),1-49,District 1,District 1,CARRICK/EDGEWOOD/MOUNT SHASTA/WEED,Rural,Small/Rural,470871,1061,15,,,,,603,473,,21,71,106,58,142,193,193,146,135,11,,8,31,5,114,7,911,,35,1015,26,,1,473,602,,274,152,,496,125,29,920,156,,1,2,135,2,13,9,774,15,,124,1,,,40,14,,19,36,32,1,2,1,,854,77,,,,,,,337,506,20,,196,4,13,,,129,9,21,80,146,1,48,1,27,50,94,15,150,9,1,124,28,11,,126,6,2,75,105,3,28,188,10,505,7,17,,7,,,,,3,,1,125,,,,29,62,5,2,,,,1,936,6,33,2,,,,1041,1,13,21,,,3072
106474007,FAIRCHILD MEDICAL CENTER,SISKIYOU,444 BRUCE STREET,YREKA,96097,Non-profit Corporation (incl. Church-related),1-49,District 1,District 1,GAZELLE/GRENADA/HILT/HORNBROOK/YREKA,Rural,Small/Rural,474007,1430,,,,,,835,595,,35,169,116,78,143,232,182,229,222,24,,27,10,86,34,131,1142,,71,1226,133,,,577,853,,243,385,1,593,208,,1387,43,,,2,12,2,54,2,1141,2,7,208,,,,82,19,,15,24,26,,2,8,,1134,113,,7,,,,,575,574,22,3,226,19,6,5,,219,9,19,114,140,2,55,,63,75,116,15,91,24,2,210,36,28,,208,4,43,81,59,14,26,133,4,776,26,16,,11,,,,,,32,2,207,,,,11,90,14,3,,,,2,1229,10,66,5,,,,1394,,17,18,1,,4755
